Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
nl Ajax,31,12.3,257,20.84,198,14,15,14,10,6,33,2.68,23,2,2,3,2,1
be Anderlecht,30,10.0,221,22.1,164,12,11,16,12,6,25,2.5,17,0,2,3,2,1
es Athletic Club,27,14.0,364,26.0,258,34,25,25,13,9,39,2.79,27,4,2,4,2,0
nl AZ Alkmaar,26,12.0,257,21.42,189,13,20,23,7,5,33,2.75,20,3,3,3,4,0
tr Beşiktaş,23,8.0,186,23.25,134,17,15,11,6,3,19,2.37,13,0,3,1,1,1
no Bodø/Glimt,26,16.7,321,19.26,237,32,19,19,11,3,45,2.7,33,4,4,1,2,1
pt Braga,25,8.0,179,22.37,123,12,19,16,5,4,9,1.13,4,0,0,5,0,0
ua Dynamo Kyiv,27,8.0,131,16.37,105,12,5,2,6,1,9,1.13,8,1,0,0,0,0
de Eint Frankfurt,25,12.0,272,22.67,220,15,10,15,10,2,35,2.92,25,1,2,4,3,0
se Elfsborg,22,8.0,86,10.75,56,12,3,6,5,4,13,1.62,9,2,1,1,0,0
ro FCSB,27,12.0,205,17.08,134,22,18,7,20,4,24,2.0,16,2,2,3,1,0
tr Fenerbahçe,25,12.3,233,18.89,185,15,11,13,4,5,26,2.11,21,0,0,5,0,0
hu Ferencváros,27,10.0,201,20.1,145,14,12,15,8,7,26,2.6,19,2,1,1,2,1
lv FK Rīgas FS,19,8.0,122,15.25,83,12,7,13,5,2,6,0.75,4,0,0,2,0,0
tr Galatasaray,26,10.0,360,36.0,264,31,14,33,13,5,33,3.3,21,2,1,7,2,0
de Hoffenheim,29,8.0,223,27.87,169,23,5,15,9,2,18,2.25,16,0,0,1,0,1
it Lazio,24,12.3,316,25.62,246,26,11,16,10,7,40,3.24,32,2,1,3,2,0
bg Ludogorets,23,8.0,138,17.25,111,10,8,4,5,0,8,1.0,4,2,0,0,2,0
fr Lyon,27,12.3,368,29.84,282,14,27,31,12,2,48,3.89,38,0,2,5,2,1
il Maccabi Tel Aviv,23,8.0,163,20.37,111,17,6,14,10,5,15,1.87,8,2,1,1,3,0
se Malmö,24,8.0,181,22.62,140,13,4,14,9,1,16,2.0,14,1,0,0,1,0
eng Manchester Utd,28,15.3,465,30.33,340,38,27,29,24,7,58,3.78,41,4,2,5,5,1
dk Midtjylland,25,10.0,178,17.8,122,20,11,13,8,4,19,1.9,17,1,0,0,1,0
fr Nice,27,8.0,217,27.12,168,15,11,14,7,2,13,1.62,12,0,0,0,1,0
gr Olympiacos,26,10.0,272,27.2,194,30,13,16,12,7,17,1.7,11,0,2,2,0,2
gr PAOK,23,10.0,227,22.7,177,17,8,8,13,4,25,2.5,20,1,0,0,3,1
pt Porto,26,10.0,235,23.5,166,29,11,18,7,4,27,2.7,18,2,1,3,1,2
az Qarabağ,22,8.0,149,18.62,112,8,11,3,12,3,7,0.87,4,0,2,0,1,0
sct Rangers,29,12.3,271,21.97,186,19,29,17,13,7,30,2.43,19,1,5,2,1,2
es Real Sociedad,29,12.0,297,24.75,223,17,13,25,12,7,34,2.83,24,1,2,4,3,0
it Roma,23,12.0,326,27.17,237,37,11,26,13,2,31,2.58,24,1,2,1,3,0
cz Slavia Prague,24,8.0,238,29.75,162,33,6,22,11,4,14,1.75,10,2,0,2,0,0
eng Tottenham,30,15.0,335,22.33,242,28,23,19,16,7,47,3.13,37,0,1,4,5,0
nl Twente,24,10.3,191,18.48,138,16,12,14,8,3,18,1.74,11,1,1,2,2,1
be Union SG,20,10.3,298,28.84,194,41,21,23,10,9,17,1.65,7,3,0,4,2,1
cz Viktoria Plzeň,25,12.0,241,20.08,159,28,11,22,14,7,31,2.58,19,4,1,5,1,1
