Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
nl Ajax,3,12,12,1110,12.3,16,1.3,59,43,74.6,5,1,6,4,33.3,1,1,0,0,0.0
be Anderlecht,2,10,10,900,10.0,17,1.7,42,26,61.9,4,3,3,1,10.0,2,1,1,0,50.0
es Athletic Club,2,14,14,1260,14.0,17,1.21,45,28,68.9,8,2,4,6,42.9,3,3,0,0,0.0
nl AZ Alkmaar,2,12,12,1080,12.0,19,1.58,51,31,66.7,5,3,4,2,16.7,3,2,1,0,33.3
tr Beşiktaş,2,8,8,720,8.0,15,1.87,49,34,71.4,3,0,5,1,12.5,1,1,0,0,0.0
no Bodø/Glimt,1,16,16,1500,16.7,25,1.5,87,62,73.6,7,2,7,3,18.8,3,2,1,0,33.3
pt Braga,2,8,8,718,8.0,12,1.5,39,27,71.8,3,1,4,2,25.0,1,1,0,0,0.0
ua Dynamo Kyiv,2,8,8,720,8.0,18,2.25,58,39,72.4,1,1,6,1,12.5,3,2,1,0,33.3
de Eint Frankfurt,2,12,12,1080,12.0,14,1.17,51,37,74.5,7,2,3,3,25.0,2,1,1,0,50.0
se Elfsborg,1,8,8,720,8.0,14,1.75,46,34,71.7,3,1,4,3,37.5,1,1,0,0,0.0
ro FCSB,2,12,12,1080,12.0,17,1.42,50,34,66.0,6,2,4,5,41.7,0,0,0,0,
tr Fenerbahçe,2,12,12,1110,12.3,16,1.3,69,52,76.8,4,5,3,3,25.0,1,0,1,0,100.0
hu Ferencváros,3,10,10,900,10.0,18,1.8,49,31,69.4,5,0,5,3,30.0,3,3,0,0,0.0
lv FK Rīgas FS,1,8,8,720,8.0,13,1.62,40,27,67.5,1,2,5,1,12.5,0,0,0,0,
tr Galatasaray,2,10,10,900,10.0,22,2.2,54,32,63.0,3,5,2,0,0.0,2,2,0,0,0.0
de Hoffenheim,2,8,8,720,8.0,14,1.75,35,21,60.0,2,3,3,2,25.0,0,0,0,0,
it Lazio,2,12,12,1110,12.3,10,0.81,48,38,79.2,8,2,2,3,25.0,0,0,0,0,
bg Ludogorets,2,8,8,720,8.0,11,1.37,51,40,78.4,0,4,4,2,25.0,0,0,0,0,
fr Lyon,2,12,12,1110,12.3,16,1.3,59,43,76.3,6,4,2,3,25.0,2,2,0,0,0.0
il Maccabi Tel Aviv,2,8,8,720,8.0,17,2.12,45,26,66.7,2,0,6,0,0.0,4,2,2,0,50.0
se Malmö,3,8,8,720,8.0,17,2.12,37,20,62.2,1,2,5,0,0.0,4,3,0,1,0.0
eng Manchester Utd,2,15,15,1380,15.3,19,1.24,58,39,72.4,9,5,1,3,20.0,3,3,0,0,0.0
dk Midtjylland,2,10,10,900,10.0,16,1.6,54,38,75.9,3,2,5,3,30.0,3,3,0,0,0.0
fr Nice,2,8,8,720,8.0,16,2.0,44,29,65.9,0,3,5,0,0.0,1,1,0,0,0.0
gr Olympiacos,1,10,10,897,10.0,7,0.7,34,27,79.4,5,3,2,6,60.0,1,0,1,0,100.0
gr PAOK,1,10,10,900,10.0,14,1.4,45,32,68.9,3,1,6,3,30.0,0,0,0,0,
pt Porto,1,10,10,900,10.0,15,1.5,38,23,60.5,3,3,4,3,30.0,0,0,0,0,
az Qarabağ,2,8,8,720,8.0,20,2.5,53,33,64.2,1,0,7,0,0.0,1,1,0,0,0.0
sct Rangers,2,12,12,1110,12.3,15,1.22,43,28,67.4,5,3,4,3,25.0,2,1,1,0,50.0
es Real Sociedad,2,12,12,1080,12.0,17,1.42,48,30,70.8,6,2,4,3,25.0,4,3,1,0,25.0
it Roma,1,12,12,1080,12.0,13,1.08,39,27,71.8,5,4,3,3,25.0,2,2,0,0,0.0
cz Slavia Prague,2,8,8,720,8.0,11,1.37,30,18,70.0,1,2,5,1,12.5,3,2,1,0,33.3
eng Tottenham,3,15,15,1350,15.0,13,0.87,59,47,78.0,10,3,2,6,40.0,1,0,0,1,
nl Twente,2,10,10,927,10.3,15,1.46,45,31,68.9,3,4,3,2,20.0,2,1,1,0,50.0
be Union SG,1,10,10,930,10.3,11,1.06,37,27,73.0,4,2,4,2,20.0,1,1,0,0,0.0
cz Viktoria Plzeň,1,12,12,1080,12.0,16,1.33,59,42,72.9,4,4,4,3,25.0,1,0,1,0,100.0
