Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
nl Ajax,31,12.3,21,147,64,43.5,11.92,5.19,0.12,0.28,16.7,1,3,3,20.5,18.1,0.13,0.5,-0.1
be Anderlecht,30,10.0,16,123,41,33.3,12.3,4.1,0.12,0.37,18.9,3,1,1,11.5,10.8,0.09,4.5,4.2
es Athletic Club,27,14.0,22,208,57,27.4,14.86,4.07,0.1,0.37,16.9,5,1,2,20.2,18.6,0.09,1.8,2.4
nl AZ Alkmaar,26,12.0,20,152,54,35.5,12.67,4.5,0.12,0.33,17.8,2,2,2,21.7,20.1,0.14,-1.7,-2.1
tr Beşiktaş,23,8.0,10,100,35,35.0,12.5,4.37,0.09,0.26,18.1,4,1,3,12.6,10.3,0.11,-2.6,-1.3
no Bodø/Glimt,26,16.7,25,180,68,37.8,10.8,4.08,0.13,0.34,15.4,6,2,2,23.7,22.2,0.13,1.3,0.8
pt Braga,25,8.0,8,104,38,36.5,13.0,4.75,0.07,0.18,16.9,1,1,1,12.4,11.6,0.11,-4.4,-4.6
ua Dynamo Kyiv,27,8.0,5,69,22,31.9,8.62,2.75,0.07,0.23,18.5,3,0,0,4.5,4.5,0.07,0.5,0.5
de Eint Frankfurt,25,12.0,21,153,60,39.2,12.75,5.0,0.12,0.32,17.6,2,2,2,16.6,15.0,0.1,4.4,4.0
se Elfsborg,22,8.0,9,52,17,32.7,6.5,2.12,0.13,0.41,17.4,1,2,2,7.3,5.7,0.11,1.7,1.3
ro FCSB,27,12.0,15,123,44,35.8,10.25,3.67,0.12,0.34,18.0,7,0,0,11.5,11.5,0.1,3.5,3.5
tr Fenerbahçe,25,12.3,16,128,43,33.6,10.38,3.49,0.13,0.37,15.9,3,0,1,16.1,15.3,0.12,-0.1,0.7
hu Ferencváros,27,10.0,15,117,41,35.0,11.7,4.1,0.11,0.32,17.5,2,2,2,11.5,10.0,0.09,3.5,3.0
lv FK Rīgas FS,19,8.0,5,70,23,32.9,8.75,2.87,0.07,0.22,16.4,1,0,1,6.4,5.6,0.08,-1.4,-0.6
tr Galatasaray,26,10.0,20,199,70,35.2,19.9,7.0,0.1,0.27,15.8,1,1,1,21.0,20.3,0.11,-1.0,-1.3
de Hoffenheim,29,8.0,10,127,36,28.3,15.87,4.5,0.08,0.28,18.5,4,0,0,11.5,11.5,0.09,-1.5,-1.5
it Lazio,24,12.3,23,175,63,36.0,14.19,5.11,0.13,0.35,16.4,3,1,1,19.3,18.5,0.11,3.7,3.5
bg Ludogorets,23,8.0,4,81,21,25.9,10.13,2.62,0.05,0.19,19.6,1,0,1,7.9,7.2,0.09,-3.9,-3.2
fr Lyon,27,12.3,29,205,79,38.5,16.62,6.41,0.14,0.35,16.8,7,1,1,22.4,21.6,0.11,6.6,6.4
il Maccabi Tel Aviv,23,8.0,8,94,30,31.9,11.75,3.75,0.07,0.23,17.3,3,1,1,10.1,9.3,0.11,-2.1,-2.3
se Malmö,24,8.0,10,103,31,30.1,12.87,3.87,0.09,0.29,17.7,3,1,2,12.0,10.4,0.1,-2.0,-1.4
eng Manchester Utd,28,15.3,34,259,89,34.4,16.89,5.8,0.12,0.34,16.2,6,4,4,32.0,28.9,0.11,2.0,1.1
dk Midtjylland,25,10.0,11,109,42,38.5,10.9,4.2,0.09,0.24,15.2,3,1,1,14.0,13.2,0.13,-3.0,-3.2
fr Nice,27,8.0,7,119,32,26.9,14.87,4.0,0.06,0.22,18.9,3,0,1,10.5,9.7,0.08,-3.5,-2.7
gr Olympiacos,26,10.0,11,147,43,29.3,14.7,4.3,0.07,0.26,16.0,1,0,3,17.2,14.8,0.1,-6.2,-3.8
gr PAOK,23,10.0,13,128,50,39.1,12.8,5.0,0.09,0.22,15.9,3,2,2,15.0,13.4,0.11,-2.0,-2.4
pt Porto,26,10.0,15,130,39,30.0,13.0,3.9,0.11,0.36,16.6,2,1,1,12.7,11.9,0.09,2.3,2.1
az Qarabağ,22,8.0,5,79,20,25.3,9.87,2.5,0.05,0.2,18.5,7,1,2,9.2,7.6,0.1,-4.2,-3.6
sct Rangers,29,12.3,19,161,65,40.4,13.05,5.27,0.12,0.29,18.4,4,0,0,17.6,17.6,0.11,1.4,1.4
es Real Sociedad,29,12.0,22,167,59,35.3,13.92,4.92,0.11,0.31,17.2,3,4,5,21.3,17.3,0.11,0.7,0.7
it Roma,23,12.0,17,183,58,31.7,15.25,4.83,0.08,0.26,16.5,3,2,2,19.5,18.0,0.1,-2.5,-3.0
cz Slavia Prague,24,8.0,7,141,45,31.9,17.62,5.63,0.05,0.16,15.7,1,0,0,10.8,10.8,0.08,-3.8,-3.8
eng Tottenham,30,15.0,28,190,70,36.8,12.67,4.67,0.13,0.34,16.6,5,4,4,23.9,20.9,0.11,4.1,3.1
nl Twente,24,10.3,11,111,36,32.4,10.74,3.48,0.07,0.22,17.6,3,3,4,12.5,9.4,0.09,-1.5,-1.4
be Union SG,20,10.3,10,170,55,32.4,16.45,5.32,0.05,0.16,16.4,3,1,2,18.4,17.1,0.11,-8.4,-8.1
cz Viktoria Plzeň,25,12.0,18,152,51,33.6,12.67,4.25,0.12,0.35,17.7,1,0,1,15.1,14.3,0.1,2.9,3.7
