Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
nl Ajax,31,12.3,230,139,108,84,38,112,203,55.2,91,137,44,93,139,369,325,8
be Anderlecht,30,10.0,183,115,78,78,27,73,121,60.3,48,101,27,74,88,271,229,3
es Athletic Club,27,14.0,236,144,88,121,27,110,217,50.7,107,123,24,99,121,357,292,4
nl AZ Alkmaar,26,12.0,217,120,96,96,25,120,245,49.0,125,166,46,120,114,331,309,4
tr Beşiktaş,23,8.0,157,91,82,51,24,76,135,56.3,59,105,37,68,90,247,183,5
no Bodø/Glimt,26,16.7,326,202,176,111,39,151,292,51.7,141,207,78,129,141,467,493,6
pt Braga,25,8.0,168,94,76,67,25,78,150,52.0,72,91,28,63,81,249,196,4
ua Dynamo Kyiv,27,8.0,124,77,69,46,9,61,124,49.2,63,99,36,63,78,202,210,7
de Eint Frankfurt,25,12.0,238,129,110,88,40,104,200,52.0,96,148,38,110,130,368,331,6
se Elfsborg,22,8.0,146,90,73,57,16,79,178,44.4,99,114,48,66,106,252,262,2
ro FCSB,27,12.0,238,144,126,84,28,120,236,50.8,116,150,42,108,137,375,330,7
tr Fenerbahçe,25,12.3,225,131,121,86,18,114,222,51.4,108,140,38,102,135,360,272,13
hu Ferencváros,27,10.0,177,112,101,55,21,87,177,49.2,90,130,43,87,90,267,256,5
lv FK Rīgas FS,19,8.0,128,73,75,44,9,59,110,53.6,51,118,27,91,93,221,225,5
tr Galatasaray,26,10.0,196,122,80,87,29,100,177,56.5,77,120,29,91,102,298,198,4
de Hoffenheim,29,8.0,167,96,81,71,15,99,180,55.0,81,95,27,68,68,235,189,4
it Lazio,24,12.3,207,122,97,80,30,110,195,56.4,85,136,33,103,127,334,286,6
bg Ludogorets,23,8.0,137,77,88,37,12,65,153,42.5,88,92,22,70,77,214,248,5
fr Lyon,27,12.3,210,126,109,74,27,110,229,48.0,119,127,39,88,98,308,238,7
il Maccabi Tel Aviv,23,8.0,139,86,60,62,17,65,138,47.1,73,84,28,56,70,209,186,8
se Malmö,24,8.0,125,71,55,44,26,55,108,50.9,53,84,20,64,45,170,170,8
eng Manchester Utd,28,15.3,270,173,115,110,45,126,213,59.2,87,181,45,136,118,388,318,18
dk Midtjylland,25,10.0,170,98,77,67,26,85,178,47.8,93,104,29,75,112,282,219,10
fr Nice,27,8.0,146,93,57,71,18,73,127,57.5,54,99,31,68,88,234,156,13
gr Olympiacos,26,10.0,224,150,79,101,44,109,213,51.2,104,149,29,120,132,356,199,6
gr PAOK,23,10.0,167,94,82,62,23,78,150,52.0,72,126,32,94,88,255,249,5
pt Porto,26,10.0,169,107,79,75,15,84,161,52.2,77,114,33,81,78,247,219,5
az Qarabağ,22,8.0,186,110,75,78,33,85,156,54.5,71,99,29,70,86,272,134,8
sct Rangers,29,12.3,217,130,113,90,14,96,219,43.8,123,187,66,121,126,343,385,5
es Real Sociedad,29,12.0,211,119,105,69,37,103,198,52.0,95,115,44,71,93,304,318,7
it Roma,23,12.0,201,123,87,74,40,95,165,57.6,70,115,31,84,112,313,256,7
cz Slavia Prague,24,8.0,122,71,51,51,20,60,102,58.8,42,83,18,65,82,204,104,7
eng Tottenham,30,15.0,230,142,111,90,29,108,210,51.4,102,174,60,114,145,375,401,11
nl Twente,24,10.3,236,150,114,90,32,119,211,56.4,92,117,31,86,95,331,271,3
be Union SG,20,10.3,240,145,78,113,49,129,237,54.4,108,135,34,101,102,342,249,2
cz Viktoria Plzeň,25,12.0,239,148,98,100,41,116,240,48.3,124,180,45,135,138,377,352,7
