Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
it Lazio,24,12.3,5429,6521,83.3,97055,30573,2350,2627,89.5,2331,2639,88.3,573,919,62.4,20,15.4,16.2,4.6,142,450,123,31,539
bg Ludogorets,23,8.0,2704,3481,77.7,49274,18008,1118,1289,86.7,1209,1407,85.9,308,611,50.4,3,5.7,6.6,-2.7,61,148,44,26,170
fr Lyon,27,12.3,5889,6997,84.2,92916,31928,3137,3468,90.5,2219,2491,89.1,366,667,54.9,22,16.6,18.3,5.4,153,379,124,15,524
il Maccabi Tel Aviv,23,8.0,2923,3593,81.4,51794,18027,1231,1404,87.7,1340,1510,88.7,272,488,55.7,6,6.9,6.6,-0.9,72,181,56,13,257
se Malmö,24,8.0,3195,4030,79.3,49062,17919,1762,1952,90.3,1083,1310,82.7,216,449,48.1,6,8.0,8.9,-2.0,75,234,85,22,306
eng Manchester Utd,28,15.3,7271,8646,84.1,120834,38563,3501,3899,89.8,2986,3326,89.8,548,947,57.9,26,24.5,21.5,1.5,205,531,154,26,715
dk Midtjylland,25,10.0,3189,4277,74.6,60331,23797,1261,1495,84.3,1513,1796,84.2,372,776,47.9,9,11.3,11.1,-2.3,85,233,76,25,341
fr Nice,27,8.0,3346,4151,80.6,54807,19425,1631,1832,89.0,1348,1580,85.3,259,481,53.8,5,8.1,8.5,-3.1,92,250,75,22,321
gr Olympiacos,26,10.0,3367,4598,73.2,62390,22610,1455,1749,83.2,1437,1776,80.9,390,759,51.4,10,12.3,11.5,-2.3,123,378,104,40,445
gr PAOK,23,10.0,4195,5156,81.4,77099,25433,1684,1879,89.6,2006,2267,88.5,424,755,56.2,9,11.1,12.8,-2.1,98,333,95,18,385
pt Porto,26,10.0,4145,5027,82.5,76948,24428,1648,1867,88.3,1922,2154,89.2,482,778,62.0,10,8.7,11.4,1.3,96,307,104,21,395
az Qarabağ,22,8.0,3338,4125,80.9,59128,20375,1473,1658,88.8,1535,1772,86.6,285,537,53.1,3,6.5,8.5,-3.5,57,289,77,21,359
sct Rangers,29,12.3,3702,4898,75.6,67993,26777,1571,1864,84.3,1547,1829,84.6,459,913,50.3,14,11.9,6.9,2.1,114,283,77,14,347
es Real Sociedad,29,12.0,4626,5784,80.0,78070,26158,2276,2560,88.9,1823,2129,85.6,413,765,54.0,13,13.0,14.5,0.0,119,309,84,24,426
it Roma,23,12.0,5755,6864,83.8,103455,32898,2414,2729,88.5,2590,2871,90.2,579,950,60.9,13,14.0,15.3,-1.0,138,402,116,30,488
cz Slavia Prague,24,8.0,2907,3828,75.9,52709,20911,1265,1483,85.3,1180,1457,81.0,361,631,57.2,6,8.9,9.7,-2.9,99,226,111,56,346
eng Tottenham,30,15.0,6294,7584,83.0,106567,37687,2841,3174,89.5,2855,3204,89.1,429,814,52.7,21,16.0,17.8,5.0,140,490,140,27,613
nl Twente,24,10.3,3581,4619,77.5,64791,22785,1519,1778,85.4,1589,1860,85.4,391,741,52.8,6,7.2,7.5,-1.2,75,264,70,24,328
be Union SG,20,10.3,3731,4908,76.0,66158,27138,1658,1952,84.9,1557,1899,82.0,400,766,52.2,7,13.6,13.1,-6.6,129,373,91,19,451
cz Viktoria Plzeň,25,12.0,3305,4658,71.0,58756,25427,1547,1874,82.6,1230,1594,77.2,402,865,46.5,16,11.0,9.1,5.0,111,293,75,17,383
