Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
nl Ajax,31,12.3,5112,6255,81.7,85284,30457,2484,2791,89.0,2030,2307,88.0,436,813,53.6,11,12.4,13.8,-1.4,108,337,84,16,406
be Anderlecht,30,10.0,4424,5436,81.4,76180,26347,2018,2282,88.4,1896,2165,87.6,397,719,55.2,11,7.8,8.5,3.2,90,347,77,19,411
es Athletic Club,27,14.0,5655,7033,80.4,103320,34990,2316,2631,88.0,2700,3119,86.6,548,968,56.6,18,15.5,13.4,2.5,160,533,112,44,647
nl AZ Alkmaar,26,12.0,4340,5542,78.3,74302,26321,1982,2245,88.3,1933,2252,85.8,323,726,44.5,8,14.0,13.3,-6.0,108,355,99,13,445
tr Beşiktaş,23,8.0,3363,4110,81.8,59070,19342,1521,1692,89.9,1483,1688,87.9,303,553,54.8,7,6.7,7.9,0.3,75,249,51,5,271
no Bodø/Glimt,26,16.7,7475,8895,84.0,125994,37478,3369,3731,90.3,3231,3594,89.9,590,1017,58.0,22,19.3,21.2,2.7,140,401,148,14,638
pt Braga,25,8.0,3398,4255,79.9,62085,21101,1390,1599,86.9,1559,1814,85.9,359,628,57.2,4,9.6,7.6,-5.6,79,252,64,9,317
ua Dynamo Kyiv,27,8.0,3342,4095,81.6,59098,18916,1420,1590,89.3,1478,1682,87.9,333,576,57.8,4,3.9,5.2,0.1,55,235,62,15,270
de Eint Frankfurt,25,12.0,5608,6755,83.0,88909,33049,2825,3134,90.1,2109,2390,88.2,380,725,52.4,15,12.4,11.8,2.6,116,448,117,24,520
se Elfsborg,22,8.0,1760,2538,69.3,32582,13417,722,878,82.2,765,934,81.9,210,542,38.7,7,4.3,4.7,2.7,33,140,35,10,176
ro FCSB,27,12.0,3654,4785,76.4,64789,25056,1679,1946,86.3,1423,1698,83.8,418,789,53.0,7,8.2,9.8,-1.2,91,193,63,13,258
tr Fenerbahçe,25,12.3,4922,6265,78.6,90996,33066,2003,2292,87.4,2352,2720,86.5,504,961,52.4,13,13.3,15.5,-0.3,103,371,111,38,514
hu Ferencváros,27,10.0,3207,4098,78.3,56585,21867,1403,1595,88.0,1372,1607,85.4,323,616,52.4,10,7.8,7.3,2.2,88,231,59,23,319
lv FK Rīgas FS,19,8.0,2290,3044,75.2,40984,16831,1012,1178,85.9,926,1092,84.8,258,559,46.2,3,4.2,5.1,-1.2,54,164,48,19,214
tr Galatasaray,26,10.0,4651,5728,81.2,78852,28027,2222,2493,89.1,1903,2234,85.2,419,720,58.2,12,14.9,15.3,-2.9,146,355,123,43,513
de Hoffenheim,29,8.0,3519,4323,81.4,59443,21154,1573,1752,89.8,1549,1799,86.1,272,517,52.6,8,8.5,7.7,-0.5,89,305,72,28,310
