Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
eng Arsenal,24,14.0,208,115,80,87,41,86,161,53.4,75,139,35,104,101,309,216,15
eng Aston Villa,25,12.0,180,101,81,68,31,92,183,50.3,91,117,41,76,89,269,181,10
it Atalanta,24,10.0,130,77,56,45,29,72,153,47.1,81,88,18,70,72,202,147,7
es Atlético Madrid,23,10.3,195,122,104,64,27,105,192,54.7,87,103,24,79,97,292,184,9
es Barcelona,27,14.3,229,147,80,103,46,100,220,45.5,120,169,45,124,86,315,249,8
de Bayern Munich,27,14.0,231,138,79,95,57,118,237,49.8,119,160,38,122,122,353,177,15
pt Benfica,23,12.0,259,144,138,94,27,129,263,49.0,134,148,38,110,136,395,285,7
it Bologna,24,8.0,165,101,78,66,21,78,151,51.7,73,97,21,76,67,232,143,3
fr Brest,23,10.0,189,111,81,70,38,95,209,45.5,114,109,33,76,108,297,223,10
sct Celtic,24,10.0,201,104,93,71,37,102,174,58.6,72,115,32,83,97,298,246,9
be Club Brugge,21,12.0,190,113,102,67,21,108,208,51.9,100,106,33,73,102,292,261,8
hr Dinamo Zagreb,25,8.0,160,96,98,47,15,87,168,51.8,81,98,34,64,85,245,232,4
de Dortmund,25,14.0,269,160,130,95,44,141,274,51.5,133,152,44,108,130,399,249,13
nl Feyenoord,29,12.0,190,113,103,64,23,102,206,49.5,104,139,52,87,106,296,243,8
es Girona,26,8.0,135,82,68,53,14,73,131,55.7,58,86,29,57,60,195,135,4
it Inter,25,15.3,208,134,132,50,26,100,210,47.6,110,178,68,110,138,346,402,12
it Juventus,26,10.3,176,116,88,67,21,87,162,53.7,75,131,53,78,75,251,195,12
de Leverkusen,25,10.0,148,97,72,56,20,66,148,44.6,82,91,34,57,81,229,178,8
fr Lille,25,10.0,145,86,67,49,29,67,130,51.5,63,99,22,77,84,229,203,8
eng Liverpool,27,10.3,147,89,53,66,28,73,168,43.5,95,126,43,83,97,244,162,10
eng Manchester City,26,10.0,122,72,35,49,38,70,129,54.3,59,85,30,55,51,173,110,10
it Milan,26,10.0,149,92,67,58,24,68,147,46.3,79,85,19,66,80,229,179,8
fr Monaco,25,10.0,170,108,83,73,14,72,149,48.3,77,116,23,93,127,297,213,12
fr Paris S-G,22,17.3,336,203,161,124,51,157,300,52.3,143,185,50,135,145,481,376,14
nl PSV Eindhoven,28,12.3,242,154,98,111,33,117,226,51.8,109,129,40,89,130,372,235,11
de RB Leipzig,23,8.0,143,94,56,56,31,53,132,40.2,79,99,30,69,66,209,184,7
at RB Salzburg,24,8.0,169,100,92,57,20,90,185,48.6,95,110,24,86,73,242,157,10
es Real Madrid,23,14.3,246,163,122,78,46,108,204,52.9,96,122,40,82,129,375,233,1
rs Red Star,24,8.0,126,70,78,38,10,64,126,50.8,62,84,26,58,80,206,166,12
ua Shakhtar,21,8.0,130,78,78,35,17,60,147,40.8,87,97,36,61,83,213,192,8
sk Slovan Bratislava,23,8.0,132,84,81,40,11,64,141,45.4,77,113,44,69,98,230,273,7
cz Sparta Prague,26,8.0,119,71,67,35,17,56,129,43.4,73,105,41,64,75,194,219,10
pt Sporting CP,27,10.0,173,103,86,71,16,90,170,52.9,80,97,26,71,84,257,187,10
at Sturm Graz,23,8.0,156,105,90,50,16,77,155,49.7,78,98,27,71,77,233,232,6
de Stuttgart,23,8.0,144,78,60,63,21,77,154,50.0,77,90,26,64,69,213,129,8
ch Young Boys,24,8.0,124,86,73,35,16,49,139,35.3,90,108,49,59,81,205,198,9
