Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
eng Arsenal,24,14.0,320,22.86,238,26,18,24,11,3,52,3.71,38,2,3,4,5,0
eng Aston Villa,25,12.0,277,23.08,216,18,13,11,14,5,39,3.25,33,1,2,0,3,0
it Atalanta,24,10.0,309,30.9,233,24,22,18,7,5,41,4.1,28,3,8,0,1,1
es Atlético Madrid,23,10.3,222,21.48,186,11,13,2,7,3,39,3.77,32,0,6,0,1,0
es Barcelona,27,14.3,391,27.28,282,29,31,27,17,5,66,4.6,42,5,6,8,5,0
de Bayern Munich,27,14.0,508,36.29,393,23,33,35,14,10,53,3.79,35,3,3,6,5,1
pt Benfica,23,12.0,300,25.0,216,23,13,26,12,10,35,2.92,24,1,2,1,5,2
it Bologna,24,8.0,162,20.25,118,15,3,12,8,6,6,0.75,2,1,0,2,1,0
fr Brest,23,10.0,226,22.6,166,16,13,20,8,3,16,1.6,12,2,0,1,1,0
sct Celtic,24,10.0,172,17.2,132,15,8,9,4,4,25,2.5,20,1,0,3,1,0
be Club Brugge,21,12.0,221,18.42,176,13,10,17,3,2,18,1.5,14,0,1,1,1,1
hr Dinamo Zagreb,25,8.0,134,16.75,105,6,10,8,4,1,23,2.87,18,0,5,0,0,0
de Dortmund,25,14.0,361,25.79,261,32,23,18,18,9,57,4.07,36,3,5,2,8,3
nl Feyenoord,29,12.0,208,17.33,152,17,13,7,13,6,34,2.83,23,1,3,2,3,2
es Girona,26,8.0,147,18.37,104,14,14,9,4,2,9,1.13,6,0,1,1,1,0
it Inter,25,15.3,317,20.67,235,24,17,19,18,4,44,2.87,28,4,2,4,5,1
it Juventus,26,10.3,202,19.55,161,8,16,8,6,3,19,1.84,12,0,3,2,2,0
de Leverkusen,25,10.0,258,25.8,203,12,16,21,6,0,22,2.2,14,0,2,5,1,0
fr Lille,25,10.0,167,16.7,118,13,16,11,6,3,30,3.0,18,0,5,5,2,0
eng Liverpool,27,10.3,250,24.19,182,20,16,12,14,6,33,3.19,21,2,1,4,3,2
eng Manchester City,26,10.0,300,30.0,240,13,13,17,11,6,33,3.3,21,1,3,4,3,1
it Milan,26,10.0,266,26.6,192,18,24,15,13,4,25,2.5,16,2,4,3,0,0
fr Monaco,25,10.0,210,21.0,150,19,12,13,12,4,28,2.8,19,2,3,3,1,0
fr Paris S-G,22,17.3,579,33.4,450,39,33,32,12,13,61,3.52,50,3,4,3,1,0
nl PSV Eindhoven,28,12.3,371,30.08,289,24,16,22,10,10,38,3.08,20,6,3,3,3,3
de RB Leipzig,23,8.0,164,20.5,116,9,9,15,7,8,12,1.5,8,0,0,4,0,0
at RB Salzburg,24,8.0,131,16.37,97,12,11,4,3,4,9,1.13,8,1,0,0,0,0
es Real Madrid,23,14.3,376,26.23,277,26,36,23,8,6,46,3.21,30,1,7,5,1,2
rs Red Star,24,8.0,156,19.5,108,20,13,8,5,2,23,2.87,16,2,1,2,1,1
ua Shakhtar,21,8.0,124,15.5,91,6,7,11,5,4,12,1.5,9,0,1,0,1,1
sk Slovan Bratislava,23,8.0,107,13.37,77,11,9,3,5,2,12,1.5,9,0,1,1,1,0
cz Sparta Prague,26,8.0,124,15.5,82,10,13,7,6,6,9,1.13,4,1,2,1,1,0
pt Sporting CP,27,10.0,222,22.2,163,14,15,18,9,3,23,2.3,15,1,2,2,2,1
at Sturm Graz,23,8.0,116,14.5,88,7,9,8,3,1,6,0.75,4,0,0,2,0,0
de Stuttgart,23,8.0,245,30.62,184,19,17,7,13,5,23,2.87,16,1,3,2,1,0
ch Young Boys,24,8.0,139,17.37,102,8,13,9,4,3,3,0.37,2,1,0,0,0,0
