Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
sct Aberdeen,21,6.0,1238,1887,65.6,25068,11037,480,594,80.8,553,727,76.1,185,481,38.5,7,5.3,4.5,1.7,36,101,27,7,130
nl Ajax,19,4.3,1918,2256,85.0,33125,10421,825,900,91.7,885,966,91.6,156,278,56.1,2,4.1,4.5,-2.1,23,135,36,5,155
kz Astana FK,20,6.0,1704,2258,75.5,31075,11912,718,812,88.4,740,890,83.1,196,427,45.9,4,3.0,3.2,1.0,41,129,32,11,168
eng Aston Villa,29,12.3,5538,6497,85.2,98992,31543,2375,2582,92.0,2601,2890,90.0,479,794,60.3,15,9.3,11.8,5.7,119,422,100,15,494
nl AZ Alkmaar,23,6.0,2696,3266,82.5,47195,15361,1151,1265,91.0,1180,1340,88.1,257,456,56.4,5,4.2,8.7,0.8,49,213,59,11,255
tr Beşiktaş,28,6.0,2499,3036,82.3,46837,15953,1058,1174,90.1,1087,1230,88.4,298,495,60.2,3,3.8,3.7,-0.8,50,193,45,17,235
es Betis,17,2.0,986,1208,81.6,15739,5545,496,541,91.7,351,399,88.0,81,147,55.1,1,1.4,2.8,-0.4,15,98,13,5,93
no Bodø/Glimt,26,8.3,3669,4361,84.1,64874,19674,1522,1675,90.9,1708,1911,89.4,323,539,59.9,11,10.8,11.0,0.2,83,249,79,11,362
is Breiðablik,18,6.0,2053,2670,76.9,36621,14195,896,1038,86.3,898,1083,82.9,203,390,52.1,3,4.9,4.6,-1.9,54,183,54,11,268
be Club Brugge,25,12.0,4826,5934,81.3,91404,33245,1893,2173,87.1,2225,2521,88.3,577,946,61.0,21,15.9,13.7,5.1,116,370,102,21,487
rs Čukarički,25,6.0,1425,1997,71.4,26847,12154,576,701,82.2,613,766,80.0,183,403,45.4,2,2.5,2.9,-0.5,32,116,27,10,155
hr Dinamo Zagreb,28,10.0,4241,5258,80.7,80455,26549,1631,1881,86.7,1924,2191,87.8,537,855,62.8,5,7.0,8.6,-2.0,89,301,83,25,387
de Eint Frankfurt,27,8.0,3934,4806,81.9,69238,22202,1661,1867,89.0,1865,2107,88.5,325,599,54.3,9,9.2,12.0,-0.2,92,299,76,16,383
tr Fenerbahçe,27,10.3,4790,5850,81.9,84499,28081,2048,2314,88.5,2188,2504,87.4,431,733,58.8,13,9.3,11.6,3.7,91,291,101,25,469
hu Ferencváros,26,8.0,2800,3664,76.4,52842,19620,1114,1318,84.5,1293,1572,82.3,334,594,56.2,6,6.6,5.7,-0.6,72,203,40,15,263
it Fiorentina,28,13.7,6182,7629,81.0,120592,39882,2280,2657,85.8,2872,3309,86.8,885,1345,65.8,16,18.2,20.9,-2.2,212,537,190,48,674
be Genk,21,6.0,2321,2869,80.9,43354,15090,884,1010,87.5,1128,1282,88.0,252,431,58.5,5,7.0,6.3,-2.0,63,216,60,11,264
be Gent,26,8.0,3637,4577,79.5,66558,22726,1550,1762,88.0,1501,1781,84.3,460,751,61.3,11,10.9,10.8,0.1,102,314,104,19,450
fi HJK,24,6.0,2120,2707,78.3,36040,12961,1000,1123,89.0,871,1037,84.0,187,396,47.2,5,3.9,4.6,1.1,44,130,38,12,171
xk KF Ballkani Therandë,19,6.0,2491,3065,81.3,46819,15703,995,1135,87.7,1135,1319,86.1,320,487,65.7,2,3.0,4.1,-1.0,45,164,21,6,199
fo KÍ,19,6.0,1553,2213,70.2,31943,12811,539,694,77.7,722,882,81.9,245,525,46.7,5,5.1,3.9,-0.1,33,101,18,12,123
pl Legia Warsaw,24,8.0,2865,3623,79.1,51824,17920,1246,1417,87.9,1239,1441,86.0,310,578,53.6,8,6.1,7.8,1.9,66,255,56,22,307
fr Lille,28,10.3,5027,5987,84.0,90596,27743,2113,2379,88.8,2236,2504,89.3,523,821,63.7,10,11.8,13.2,-1.8,100,440,108,17,546
bg Ludogorets,22,8.0,3211,3997,80.3,60117,20856,1273,1462,87.1,1456,1679,86.7,388,654,59.3,8,7.7,6.2,0.3,84,245,60,12,299
ch Lugano,20,6.0,2485,3000,82.8,45419,16231,1079,1186,91.0,1060,1188,89.2,273,457,59.7,3,6.4,5.5,-3.4,76,195,52,20,238
il Maccabi Haifa,19,4.0,1070,1445,74.0,19179,8090,482,563,85.6,415,516,80.4,135,277,48.7,5,1.6,1.5,3.4,18,75,17,3,77
il Maccabi Tel Aviv,24,8.3,3218,4123,78.0,57132,19668,1376,1581,87.0,1469,1709,86.0,297,602,49.3,14,7.8,7.5,6.2,74,243,46,6,334
no Molde,18,4.0,1497,1879,79.7,25357,8855,684,780,87.7,637,724,88.0,117,259,45.2,6,3.1,2.0,2.9,29,83,19,4,112
dk Nordsjælland,23,6.0,3225,3738,86.3,54034,18881,1517,1638,92.6,1352,1496,90.4,247,418,59.1,12,7.1,6.9,4.9,56,166,45,6,240
si Olimpija,21,6.0,2348,3056,76.8,43299,14302,946,1107,85.5,1062,1269,83.7,274,505,54.3,3,3.8,3.2,-0.8,48,198,16,5,202
gr Olympiacos,22,10.0,3014,4184,72.0,55273,21371,1391,1655,84.0,1145,1439,79.6,382,830,46.0,17,9.5,10.2,7.5,99,291,66,23,356
gr PAOK,22,10.0,4140,5176,80.0,77713,24403,1651,1885,87.6,1852,2123,87.2,537,916,58.6,13,11.9,11.2,1.1,95,318,76,19,412
ch Servette FC,17,4.3,1269,1833,69.2,24340,10223,499,626,79.7,526,685,76.8,186,374,49.7,0,2.9,2.7,-2.9,48,103,36,6,145
sk Slovan Bratislava,22,8.0,2301,3135,73.4,42554,18189,1021,1225,83.3,859,1070,80.3,330,632,52.2,7,7.9,6.9,-0.9,82,187,53,15,228
sk Spartak Trnava,23,6.0,1493,2006,74.4,28007,10697,647,756,85.6,614,740,83.0,190,403,47.1,3,3.2,3.2,-0.2,37,112,30,12,143
at Sturm Graz,18,4.0,1169,1610,72.6,19831,7848,514,619,83.0,478,593,80.6,115,283,40.6,5,4.3,3.8,0.7,46,89,21,8,117
be Union SG,20,4.0,1466,1933,75.8,25249,10847,681,809,84.2,560,680,82.4,160,288,55.6,4,4.1,4.7,-0.1,35,115,29,2,154
cz Viktoria Plzeň,26,10.7,2869,4080,70.3,54454,24728,1195,1468,81.4,1175,1521,77.3,401,841,47.7,6,8.0,8.2,-2.0,73,260,63,26,351
ua Zorya Luhansk,23,6.0,1681,2294,73.3,32068,13179,703,826,85.1,713,882,80.8,235,453,51.9,9,5.5,4.0,3.5,62,139,42,8,179
ba Zrinjski Mostar,21,6.0,1509,2068,73.0,29061,10837,589,692,85.1,691,827,83.6,197,438,45.0,5,1.9,2.3,3.1,23,93,18,9,110
