Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
sct Aberdeen,1,6,6,540,6.0,10,1.67,29,19,72.4,1,3,2,1,16.7,2,2,0,0,0.0
nl Ajax,1,4,4,390,4.3,7,1.62,19,12,63.2,1,2,1,1,25.0,0,0,0,0,
kz Astana FK,1,6,6,540,6.0,13,2.17,36,23,69.4,1,1,4,1,16.7,2,2,0,0,0.0
eng Aston Villa,3,12,12,1110,12.3,16,1.3,38,22,60.5,6,2,4,3,25.0,1,1,0,0,0.0
nl AZ Alkmaar,2,6,6,540,6.0,12,2.0,22,10,45.5,2,0,4,2,33.3,0,0,0,0,
tr Beşiktaş,2,6,6,540,6.0,14,2.33,41,28,65.9,1,1,4,1,16.7,0,0,0,0,
es Betis,1,2,2,180,2.0,2,1.0,3,1,66.7,0,1,1,0,0.0,1,1,0,0,0.0
no Bodø/Glimt,3,8,8,750,8.3,12,1.44,31,20,64.5,3,2,3,1,12.5,1,1,0,0,0.0
is Breiðablik,1,6,6,540,6.0,18,3.0,35,18,51.4,0,0,6,0,0.0,1,1,0,0,0.0
be Club Brugge,2,12,12,1080,12.0,9,0.75,35,26,80.0,8,2,2,6,50.0,2,2,0,0,0.0
rs Čukarički,3,6,6,540,6.0,16,2.67,37,20,64.9,0,0,6,0,0.0,4,3,1,0,25.0
hr Dinamo Zagreb,2,10,10,900,10.0,11,1.1,26,15,69.2,5,1,4,4,40.0,4,3,1,0,25.0
de Eint Frankfurt,2,8,8,719,8.0,11,1.38,29,18,62.1,3,1,4,2,25.0,0,0,0,0,
tr Fenerbahçe,2,10,10,930,10.3,15,1.45,45,31,66.7,6,0,4,3,30.0,0,0,0,0,
hu Ferencváros,1,8,8,720,8.0,8,1.0,34,26,79.4,2,4,2,1,12.5,1,1,0,0,0.0
it Fiorentina,2,13,13,1230,13.7,14,1.02,34,20,61.8,6,6,1,4,30.8,1,1,0,0,0.0
be Genk,2,6,6,540,6.0,5,0.83,28,23,85.7,2,3,1,3,50.0,1,1,0,0,0.0
be Gent,2,8,8,720,8.0,9,1.13,36,26,75.0,4,2,2,2,25.0,1,0,1,0,100.0
fi HJK,2,6,6,540,6.0,17,2.83,48,32,66.7,0,2,4,0,0.0,1,1,0,0,0.0
xk KF Ballkani Therandë,1,6,6,540,6.0,7,1.17,21,14,71.4,1,1,4,2,33.3,1,1,0,0,0.0
fo KÍ,1,6,6,540,6.0,9,1.5,30,21,80.0,1,1,4,2,33.3,3,3,0,0,0.0
pl Legia Warsaw,2,8,8,720,8.0,12,1.5,30,18,60.0,4,0,4,2,25.0,0,0,0,0,
fr Lille,2,10,10,930,10.3,6,0.58,32,26,81.3,6,3,1,5,50.0,0,0,0,0,
bg Ludogorets,2,8,8,720,8.0,12,1.5,32,21,65.6,4,1,3,4,50.0,1,1,0,0,0.0
ch Lugano,1,6,6,540,6.0,14,2.33,34,20,61.8,1,1,4,1,16.7,2,1,0,1,0.0
il Maccabi Haifa,1,4,4,360,4.0,6,1.5,21,16,71.4,1,2,1,1,25.0,0,0,0,0,
il Maccabi Tel Aviv,2,8,8,750,8.3,16,1.92,48,32,68.8,6,0,2,0,0.0,1,1,0,0,0.0
no Molde,1,4,4,360,4.0,6,1.5,14,8,64.3,3,0,1,1,25.0,1,1,0,0,0.0
dk Nordsjælland,2,6,6,540,6.0,7,1.17,28,21,78.6,3,1,2,1,16.7,1,1,0,0,0.0
si Olimpija,2,6,6,540,6.0,9,1.5,28,18,75.0,2,0,4,1,16.7,3,2,1,0,33.3
gr Olympiacos,2,9,9,900,10.0,10,1.0,40,30,80.0,7,0,2,4,44.4,3,2,0,1,0.0
gr PAOK,1,10,10,900,10.0,16,1.6,44,27,68.2,6,1,3,0,0.0,3,2,1,0,33.3
ch Servette FC,1,4,4,390,4.3,0,0.0,14,14,100.0,1,3,0,4,100.0,0,0,0,0,
sk Slovan Bratislava,2,8,8,717,8.0,12,1.51,32,20,65.6,3,1,4,1,12.5,1,1,0,0,0.0
sk Spartak Trnava,1,6,6,540,6.0,15,2.5,42,27,66.7,0,1,5,0,0.0,3,1,1,1,50.0
at Sturm Graz,1,4,4,360,4.0,5,1.25,21,16,76.2,2,1,1,1,25.0,0,0,0,0,
be Union SG,2,4,4,360,4.0,6,1.5,13,7,61.5,2,1,1,1,25.0,1,1,0,0,0.0
cz Viktoria Plzeň,3,10,10,960,10.7,3,0.28,34,31,91.2,6,3,1,8,80.0,0,0,0,0,
ua Zorya Luhansk,3,6,6,540,6.0,11,1.83,26,16,57.7,2,1,3,2,33.3,0,0,0,0,
ba Zrinjski Mostar,1,6,6,540,6.0,10,1.67,32,23,75.0,1,1,4,0,0.0,2,2,0,0,0.0
