Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
be Antwerp,2,6,6,540,6.0,17,2.83,36,20,55.6,1,0,5,0,0.0,1,1,0,0,0.0
eng Arsenal,2,10,10,930,10.3,8,0.77,28,20,75.0,5,2,3,4,40.0,1,1,0,0,0.0
es Atlético Madrid,1,10,10,930,10.3,13,1.26,49,37,73.5,6,2,2,2,20.0,0,0,0,0,
es Barcelona,2,10,10,900,10.0,14,1.4,41,27,68.3,6,1,3,2,20.0,1,1,0,0,0.0
de Bayern Munich,2,12,12,1080,12.0,13,1.08,40,27,75.0,7,3,2,4,33.3,3,3,0,0,0.0
pt Benfica,1,6,6,540,6.0,11,1.83,34,23,73.5,1,1,4,0,0.0,4,2,0,2,0.0
pt Braga,1,6,6,540,6.0,12,2.0,32,22,62.5,1,1,4,0,0.0,0,0,0,0,
sct Celtic,1,6,6,540,6.0,15,2.5,38,21,60.5,1,1,4,0,0.0,2,0,2,0,100.0
de Dortmund,2,13,13,1170,13.0,11,0.85,59,48,84.7,7,3,3,6,46.2,3,2,1,0,33.3
dk FC Copenhagen,1,8,8,720,8.0,14,1.75,44,30,70.5,2,2,4,2,25.0,1,1,0,0,0.0
nl Feyenoord,2,6,6,540,6.0,10,1.67,21,13,61.9,2,0,4,1,16.7,2,2,0,0,0.0
tr Galatasaray,1,6,6,540,6.0,13,2.17,25,12,48.0,1,2,3,0,0.0,0,0,0,0,
it Inter,2,8,8,750,8.3,7,0.84,34,27,79.4,4,3,1,4,50.0,0,0,0,0,
it Lazio,1,8,8,720,8.0,10,1.25,31,21,67.7,4,1,3,3,37.5,0,0,0,0,
fr Lens,1,6,6,540,6.0,11,1.83,32,21,71.9,2,2,2,0,0.0,2,2,0,0,0.0
eng Manchester City,2,10,10,930,10.3,13,1.26,27,15,51.9,8,2,0,1,10.0,0,0,0,0,
eng Manchester Utd,1,6,6,540,6.0,15,2.5,35,19,62.9,1,1,4,1,16.7,4,2,1,1,33.3
it Milan,2,6,6,540,6.0,8,1.33,27,19,74.1,2,2,2,2,33.3,1,1,0,0,0.0
it Napoli,1,8,8,720,8.0,13,1.62,45,33,71.1,3,2,3,2,25.0,0,0,0,0,
eng Newcastle Utd,2,6,6,540,6.0,7,1.17,32,25,81.3,1,2,3,1,16.7,1,1,0,0,0.0
fr Paris S-G,1,12,12,1080,12.0,15,1.25,52,37,71.2,5,2,5,3,25.0,0,0,0,0,
pt Porto,1,8,8,750,8.3,9,1.08,28,20,67.9,5,0,3,2,25.0,0,0,0,0,
nl PSV Eindhoven,1,8,8,720,8.0,13,1.62,34,21,61.8,2,4,2,1,12.5,0,0,0,0,
de RB Leipzig,2,8,8,720,8.0,12,1.5,30,19,60.0,4,1,3,0,0.0,0,0,0,0,
at RB Salzburg,1,6,6,540,6.0,8,1.33,33,25,81.8,1,1,4,2,33.3,2,2,0,0,0.0
es Real Madrid,3,13,13,1200,13.3,15,1.13,63,47,79.4,9,4,0,4,30.8,3,2,1,0,33.3
es Real Sociedad,1,8,8,720,8.0,6,0.75,25,19,76.0,3,3,2,4,50.0,0,0,0,0,
rs Red Star,1,6,6,540,6.0,15,2.5,45,31,71.1,0,1,5,0,0.0,2,2,0,0,0.0
es Sevilla,2,6,6,540,6.0,12,2.0,27,16,63.0,0,2,4,0,0.0,2,2,0,0,0.0
ua Shakhtar,1,6,6,540,6.0,12,2.0,37,25,67.6,3,0,3,2,33.3,1,0,0,1,
de Union Berlin,1,6,6,540,6.0,10,1.67,29,18,65.5,0,2,4,0,0.0,1,0,1,0,100.0
ch Young Boys,2,6,6,540,6.0,13,2.17,44,31,75.0,1,1,4,1,16.7,2,2,0,0,0.0
