Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
be Antwerp,20,6.0,6,55,21,38.2,9.17,3.5,0.11,0.29,17.0,1,0,1,6.2,5.4,0.1,-0.2,0.6
eng Arsenal,23,10.3,19,120,42,35.0,11.61,4.06,0.15,0.43,15.1,1,1,1,13.4,12.7,0.11,5.6,5.3
es Atlético Madrid,22,10.3,20,136,52,38.2,13.16,5.03,0.15,0.38,16.4,2,0,1,16.7,15.7,0.12,3.3,4.3
es Barcelona,25,10.0,19,158,55,34.8,15.8,5.5,0.12,0.35,17.0,5,0,0,16.9,16.9,0.11,2.1,2.1
de Bayern Munich,23,12.0,21,166,48,28.9,13.83,4.0,0.11,0.38,16.6,5,3,3,19.0,16.7,0.1,2.0,1.3
pt Benfica,22,6.0,7,71,27,38.0,11.83,4.5,0.1,0.26,16.8,1,0,0,7.8,7.8,0.11,-0.8,-0.8
pt Braga,23,6.0,6,89,20,22.5,14.83,3.33,0.07,0.3,17.0,2,0,1,8.3,7.5,0.09,-2.3,-1.5
sct Celtic,23,6.0,5,45,21,46.7,7.5,3.5,0.09,0.19,17.9,0,1,1,4.9,4.1,0.09,0.1,-0.1
de Dortmund,23,13.0,17,170,61,35.9,13.08,4.69,0.09,0.26,17.3,3,1,1,17.2,16.4,0.1,-0.2,-0.4
dk FC Copenhagen,24,8.0,10,82,26,31.7,10.25,3.25,0.11,0.35,18.4,1,1,2,9.1,7.8,0.1,0.9,1.2
nl Feyenoord,24,6.0,8,90,30,33.3,15.0,5.0,0.09,0.27,17.2,4,0,1,10.6,9.8,0.12,-2.6,-1.8
tr Galatasaray,20,6.0,10,90,25,27.8,15.0,4.17,0.1,0.36,16.6,2,1,2,9.8,8.2,0.1,0.2,0.8
it Inter,22,8.3,10,116,34,29.3,13.92,4.08,0.06,0.21,16.9,4,3,3,16.2,13.9,0.12,-6.2,-6.9
it Lazio,21,8.0,8,91,26,28.6,11.37,3.25,0.07,0.23,18.8,3,2,2,10.6,9.0,0.1,-2.6,-3.0
fr Lens,20,6.0,6,59,15,25.4,9.83,2.5,0.08,0.33,16.8,2,1,1,6.1,5.3,0.09,-0.1,-0.3
eng Manchester City,25,10.3,28,213,79,37.1,20.61,7.65,0.12,0.32,15.9,9,3,3,24.6,22.3,0.11,3.4,2.7
eng Manchester Utd,24,6.0,12,70,26,37.1,11.67,4.33,0.16,0.42,16.0,2,1,1,10.5,9.7,0.14,1.5,1.3
it Milan,23,6.0,5,94,27,28.7,15.67,4.5,0.05,0.19,16.9,4,0,1,9.6,8.9,0.1,-4.6,-3.9
it Napoli,23,8.0,10,108,32,29.6,13.5,4.0,0.08,0.28,16.9,3,1,1,10.5,9.8,0.09,-0.5,-0.8
eng Newcastle Utd,23,6.0,6,62,25,40.3,10.33,4.17,0.1,0.24,18.2,4,0,0,5.9,5.9,0.1,0.1,0.1
fr Paris S-G,21,12.0,19,211,63,29.9,17.58,5.25,0.08,0.25,17.8,3,3,3,24.3,22.0,0.11,-5.3,-6.0
pt Porto,25,8.3,16,103,45,43.7,12.36,5.4,0.15,0.33,16.5,1,1,1,11.4,10.7,0.11,4.6,4.3
nl PSV Eindhoven,22,8.0,8,124,42,33.9,15.5,5.25,0.05,0.14,18.4,2,2,2,11.0,9.4,0.08,-3.0,-3.4
de RB Leipzig,23,8.0,14,124,41,33.1,15.5,5.12,0.11,0.34,18.0,5,0,0,12.2,12.2,0.1,1.8,1.8
at RB Salzburg,23,6.0,4,71,22,31.0,11.83,3.67,0.04,0.14,19.4,1,1,2,7.4,5.9,0.08,-3.4,-2.9
es Real Madrid,23,13.3,26,212,72,34.0,15.9,5.4,0.12,0.35,17.0,5,1,2,25.1,23.6,0.12,0.9,1.4
es Real Sociedad,26,8.0,8,106,34,32.1,13.25,4.25,0.08,0.24,17.1,2,0,1,10.3,9.5,0.09,-2.3,-1.5
rs Red Star,22,6.0,6,83,27,32.5,13.83,4.5,0.07,0.22,17.2,0,0,0,8.7,8.7,0.11,-2.7,-2.7
es Sevilla,24,6.0,7,52,17,32.7,8.67,2.83,0.12,0.35,16.2,0,1,1,5.9,5.1,0.1,1.1,0.9
ua Shakhtar,21,6.0,9,69,26,37.7,11.5,4.33,0.13,0.35,17.5,2,0,0,7.4,7.4,0.11,1.6,1.6
de Union Berlin,21,6.0,6,57,20,35.1,9.5,3.33,0.11,0.3,17.2,2,0,0,5.6,5.6,0.1,0.4,0.4
ch Young Boys,23,6.0,6,73,21,28.8,12.17,3.5,0.07,0.24,19.9,2,1,1,6.4,5.6,0.08,-0.4,-0.6
