Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 Age,Unnamed: 3_level_0 Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG
gr AEK Athens,22,30.1,46.8,6,66,540,6.0,6,6,12,6,0,0,24,2,8.7,8.7,6.7,15.4,94,210,1.0,1.0,2.0,1.0,2.0,1.45,1.11,2.56,1.45,2.56
nl Ajax,26,22.3,48.0,6,66,540,6.0,10,8,18,9,1,1,13,2,9.4,8.6,5.6,14.2,94,202,1.67,1.33,3.0,1.5,2.83,1.57,0.93,2.5,1.44,2.37
cy Aris Limassol FC,18,27.4,42.2,6,66,540,6.0,7,5,12,6,1,1,16,0,7.0,6.3,5.1,11.4,79,183,1.17,0.83,2.0,1.0,1.83,1.17,0.85,2.03,1.04,1.9
it Atalanta,32,26.8,47.6,13,143,1170,13.0,25,15,40,24,1,1,28,0,23.0,22.3,16.3,38.6,257,586,1.92,1.15,3.08,1.85,3.0,1.77,1.25,3.03,1.71,2.97
pt Benfica,18,26.2,53.7,6,66,570,6.3,6,3,9,3,3,3,10,0,11.2,8.9,6.7,15.6,149,292,0.95,0.47,1.42,0.47,0.95,1.77,1.05,2.82,1.4,2.46
es Betis,22,28.4,55.7,6,66,540,6.0,9,8,17,9,0,1,16,0,9.1,8.3,5.8,14.1,114,258,1.5,1.33,2.83,1.5,2.83,1.51,0.97,2.48,1.38,2.34
pt Braga,18,26.7,58.5,2,22,210,2.3,5,2,7,3,2,2,6,0,4.2,2.7,1.6,4.3,50,139,2.14,0.86,3.0,1.29,2.14,1.82,0.68,2.5,1.14,1.83
eng Brighton,26,26.0,58.5,8,88,720,8.0,11,7,18,7,4,4,21,0,12.3,9.3,7.1,16.5,165,359,1.37,0.87,2.25,0.87,1.75,1.54,0.89,2.43,1.17,2.06
nl Feyenoord,19,23.9,47.5,2,22,210,2.3,2,1,3,2,0,0,7,0,2.0,2.0,1.6,3.6,31,82,0.86,0.43,1.29,0.86,1.29,0.85,0.69,1.55,0.85,1.55
de Freiburg,23,27.0,53.9,10,110,930,10.3,21,13,34,19,2,2,11,0,17.3,15.7,11.6,27.3,178,379,2.03,1.26,3.29,1.84,3.1,1.67,1.12,2.79,1.52,2.64
tr Galatasaray,17,28.9,56.5,2,22,180,2.0,4,3,7,4,0,0,5,2,2.2,2.2,1.9,4.1,36,72,2.0,1.5,3.5,2.0,3.5,1.1,0.93,2.03,1.1,2.03
se Häcken,21,27.0,50.7,6,66,540,6.0,2,2,4,2,0,0,5,0,7.4,7.4,5.4,12.8,108,289,0.33,0.33,0.67,0.33,0.67,1.23,0.9,2.13,1.23,2.13
