Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 Age,Unnamed: 3_level_0 Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG
at LASK,22,26.1,44.8,6,66,540,6.0,6,4,10,5,1,1,16,0,7.5,6.7,5.0,11.8,54,203,1.0,0.67,1.67,0.83,1.5,1.24,0.84,2.08,1.12,1.96
fr Lens,18,26.0,54.0,2,22,210,2.3,2,0,2,2,0,0,9,0,1.4,1.4,1.1,2.5,34,95,0.86,0.0,0.86,0.86,0.86,0.6,0.46,1.05,0.6,1.05
de Leverkusen,24,24.8,61.5,13,143,1170,13.0,29,25,54,28,1,1,23,0,26.5,25.8,20.6,46.4,338,620,2.23,1.92,4.15,2.15,4.08,2.04,1.59,3.63,1.98,3.57
eng Liverpool,31,24.8,68.1,10,110,900,10.0,28,22,50,24,4,4,8,0,23.3,20.2,16.2,36.3,209,491,2.8,2.2,5.0,2.4,4.6,2.33,1.62,3.95,2.02,3.63
il Maccabi Haifa,24,27.5,38.7,6,66,540,6.0,3,3,6,3,0,0,21,0,5.6,5.6,4.7,10.4,69,114,0.5,0.5,1.0,0.5,1.0,0.94,0.79,1.73,0.94,1.73
fr Marseille,27,27.4,48.6,14,154,1290,14.3,26,19,45,21,5,5,24,0,23.5,19.6,16.6,36.2,215,572,1.81,1.33,3.14,1.47,2.79,1.64,1.16,2.8,1.37,2.52
it Milan,22,26.5,57.5,6,66,540,6.0,13,11,24,13,0,0,16,0,11.4,11.4,8.6,19.9,139,264,2.17,1.83,4.0,2.17,4.0,1.89,1.43,3.32,1.89,3.32
no Molde,23,26.3,42.8,6,66,540,6.0,12,11,23,12,0,0,10,0,8.5,8.5,6.6,15.1,101,193,2.0,1.83,3.83,2.0,3.83,1.42,1.09,2.51,1.42,2.51
gr Olympiacos,23,27.8,49.3,6,66,540,6.0,10,9,19,10,0,0,15,1,7.7,7.7,6.5,14.2,110,188,1.67,1.5,3.17,1.67,3.17,1.28,1.08,2.36,1.28,2.36
gr Panathinaikos,20,29.3,53.8,6,66,540,6.0,7,4,11,5,2,3,10,0,9.5,7.1,6.0,13.1,131,283,1.17,0.67,1.83,0.83,1.5,1.58,1.01,2.59,1.18,2.18
az Qarabağ,21,27.9,42.2,10,110,930,10.3,17,10,27,15,2,2,27,3,12.7,11.2,9.0,20.1,187,309,1.65,0.97,2.61,1.45,2.42,1.23,0.87,2.1,1.08,1.95
pl Raków,20,26.8,49.2,6,66,540,6.0,3,2,5,3,0,0,9,1,7.9,7.9,6.0,13.9,106,235,0.5,0.33,0.83,0.5,0.83,1.32,1.0,2.32,1.32,2.32
sct Rangers,25,27.5,48.9,8,88,720,8.0,10,8,18,10,0,0,19,0,9.6,9.6,6.6,16.3,126,320,1.25,1.0,2.25,1.25,2.25,1.2,0.83,2.03,1.2,2.03
fr Rennes,25,25.2,50.9,8,88,720,8.0,16,9,25,13,3,4,18,1,13.3,10.2,8.2,18.4,168,402,2.0,1.13,3.12,1.62,2.75,1.66,1.02,2.68,1.28,2.3
it Roma,29,27.3,50.0,14,154,1290,14.3,22,17,39,20,2,2,28,1,20.0,18.5,15.0,33.4,237,474,1.53,1.19,2.72,1.4,2.58,1.39,1.04,2.44,1.29,2.33
ch Servette FC,21,27.1,47.8,6,66,540,6.0,4,2,6,3,1,1,12,0,6.1,5.3,3.3,8.6,106,265,0.67,0.33,1.0,0.5,0.83,1.01,0.55,1.56,0.88,1.43
ua Shakhtar,20,24.6,51.5,2,22,180,2.0,3,1,4,2,1,1,9,0,2.5,1.7,1.0,2.7,30,51,1.5,0.5,2.0,1.0,1.5,1.25,0.51,1.77,0.86,1.37
md Sheriff Tiraspol,18,26.1,39.5,6,66,540,6.0,4,3,7,4,0,0,21,3,3.2,3.2,2.6,5.9,59,113,0.67,0.5,1.17,0.67,1.17,0.54,0.44,0.98,0.54,0.98
cz Slavia Prague,27,26.1,51.5,8,88,720,8.0,19,12,31,18,1,1,13,2,12.4,11.6,7.9,19.6,141,350,2.37,1.5,3.87,2.25,3.75,1.55,0.99,2.55,1.46,2.45
cz Sparta Prague,24,25.4,46.1,10,110,900,10.0,16,14,30,16,0,0,24,1,13.3,13.3,10.9,24.2,151,264,1.6,1.4,3.0,1.6,3.0,1.33,1.09,2.42,1.33,2.42
pt Sporting CP,25,26.1,56.5,10,110,900,10.0,15,8,23,11,4,5,10,1,16.5,12.6,9.8,22.4,174,359,1.5,0.8,2.3,1.1,1.9,1.65,0.98,2.63,1.26,2.24
at Sturm Graz,22,24.6,38.0,6,66,540,6.0,4,2,6,3,1,1,12,1,5.6,4.8,3.9,8.7,65,127,0.67,0.33,1.0,0.5,0.83,0.93,0.64,1.57,0.8,1.44
fr Toulouse,24,24.2,44.0,8,88,720,8.0,9,7,16,8,1,1,27,2,8.9,8.1,7.4,15.5,111,268,1.13,0.87,2.0,1.0,1.87,1.11,0.93,2.04,1.01,1.94
rs TSC,22,27.2,38.7,6,66,540,6.0,6,4,10,6,0,0,13,1,4.6,4.6,3.2,7.8,52,144,1.0,0.67,1.67,1.0,1.67,0.77,0.54,1.3,0.77,1.3
be Union SG,19,26.2,44.0,6,66,540,6.0,5,4,9,4,1,1,11,0,10.0,9.2,7.8,17.1,92,234,0.83,0.67,1.5,0.67,1.33,1.67,1.31,2.98,1.54,2.85
es Villarreal,29,29.0,54.8,8,88,720,8.0,12,10,22,11,1,2,27,1,10.7,9.1,7.0,16.1,142,342,1.5,1.25,2.75,1.37,2.62,1.33,0.88,2.21,1.14,2.01
eng West Ham,25,28.7,49.6,10,110,900,10.0,16,12,28,16,0,0,22,0,13.3,13.3,10.0,23.3,174,390,1.6,1.2,2.8,1.6,2.8,1.33,1.0,2.33,1.33,2.33
ch Young Boys,19,24.6,43.0,2,22,180,2.0,2,0,2,1,1,1,7,1,1.4,0.7,0.6,1.3,31,57,1.0,0.0,1.0,0.5,0.5,0.72,0.28,1.0,0.37,0.65
