Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
gr AEK Athens,2,6,6,538,6.0,12,2.01,37,25,83.8,1,1,4,0,0.0,6,6,0,0,0.0
nl Ajax,2,6,6,540,6.0,13,2.17,40,27,72.5,1,2,3,0,0.0,2,2,0,0,0.0
cy Aris Limassol FC,1,6,6,540,6.0,13,2.17,41,27,68.3,1,1,4,0,0.0,1,0,1,0,100.0
it Atalanta,3,13,13,1170,13.0,8,0.62,35,27,85.7,8,4,1,6,46.2,3,3,0,0,0.0
pt Benfica,1,6,6,570,6.3,5,0.79,23,18,78.3,3,2,1,2,33.3,0,0,0,0,
es Betis,2,6,6,540,6.0,7,1.17,19,12,63.2,3,0,3,1,16.7,0,0,0,0,
pt Braga,1,2,2,210,2.3,6,2.57,11,5,54.5,1,0,1,0,0.0,1,1,0,0,0.0
eng Brighton,2,8,8,720,8.0,9,1.13,27,18,66.7,5,1,2,5,62.5,0,0,0,0,
nl Feyenoord,1,2,2,210,2.3,2,0.86,7,5,71.4,0,2,0,0,0.0,0,0,0,0,
de Freiburg,1,10,10,930,10.3,14,1.35,37,23,62.2,6,1,3,4,40.0,0,0,0,0,
tr Galatasaray,1,2,2,180,2.0,6,3.0,12,6,50.0,1,0,1,0,0.0,0,0,0,0,
se Häcken,1,6,6,540,6.0,17,2.83,34,17,50.0,0,0,6,0,0.0,0,0,0,0,
at LASK,1,6,6,540,6.0,12,2.0,28,16,67.9,1,0,5,1,16.7,3,3,0,0,0.0
fr Lens,1,2,2,210,2.3,3,1.29,12,9,75.0,0,1,1,1,50.0,0,0,0,0,
de Leverkusen,2,13,13,1170,13.0,13,1.0,56,43,82.1,9,3,1,5,38.5,3,3,0,0,0.0
eng Liverpool,2,10,10,900,10.0,12,1.2,36,25,66.7,7,0,3,3,30.0,0,0,0,0,
il Maccabi Haifa,2,6,6,540,6.0,9,1.5,35,25,74.3,1,2,3,2,33.3,1,0,1,0,100.0
fr Marseille,2,14,14,1290,14.3,22,1.53,64,42,68.8,6,4,4,3,21.4,2,2,0,0,0.0
it Milan,2,6,6,540,6.0,9,1.5,22,13,68.2,3,0,3,1,16.7,2,2,0,0,0.0
no Molde,2,6,6,540,6.0,12,2.0,35,24,65.7,2,1,3,0,0.0,0,0,0,0,
gr Olympiacos,1,6,6,540,6.0,14,2.33,28,14,53.6,2,1,3,0,0.0,1,1,0,0,0.0
gr Panathinaikos,2,6,6,540,6.0,10,1.67,29,19,69.0,1,1,4,2,33.3,1,1,0,0,0.0
az Qarabağ,2,10,10,930,10.3,19,1.84,59,41,72.9,4,2,4,2,20.0,3,3,0,0,0.0
pl Raków,1,6,6,540,6.0,10,1.67,35,25,77.1,1,1,4,1,16.7,2,2,0,0,0.0
sct Rangers,1,8,8,720,8.0,9,1.13,35,27,77.1,3,3,2,2,25.0,1,1,0,0,0.0
fr Rennes,2,8,8,720,8.0,11,1.37,29,18,72.4,5,0,3,2,25.0,3,3,0,0,0.0
it Roma,1,14,14,1290,14.3,12,0.84,65,54,81.5,7,4,3,5,35.7,0,0,0,0,
ch Servette FC,1,6,6,540,6.0,13,2.17,24,12,45.8,1,2,3,0,0.0,0,0,0,0,
ua Shakhtar,1,2,2,180,2.0,5,2.5,11,6,54.5,0,1,1,0,0.0,0,0,0,0,
md Sheriff Tiraspol,1,6,6,540,6.0,17,2.83,37,22,59.5,0,1,5,0,0.0,2,2,0,0,0.0
cz Slavia Prague,2,8,8,720,8.0,11,1.37,30,19,63.3,5,0,3,4,50.0,0,0,0,0,
cz Sparta Prague,1,10,10,900,10.0,22,2.2,57,35,64.9,4,1,5,2,20.0,2,2,0,0,0.0
pt Sporting CP,2,10,10,900,10.0,11,1.1,31,20,67.7,4,4,2,1,10.0,1,1,0,0,0.0
at Sturm Graz,1,6,6,540,6.0,9,1.5,29,20,72.4,1,1,4,1,16.7,1,1,0,0,0.0
fr Toulouse,1,8,8,720,8.0,11,1.37,30,20,70.0,3,3,2,3,37.5,2,2,0,0,0.0
rs TSC,2,6,6,540,6.0,19,3.17,39,21,53.8,0,1,5,0,0.0,1,1,0,0,0.0
be Union SG,1,6,6,540,6.0,8,1.33,25,17,76.0,2,2,2,1,16.7,2,2,0,0,0.0
es Villarreal,2,8,8,720,8.0,12,1.5,28,16,60.7,5,1,2,2,25.0,3,1,1,1,50.0
eng West Ham,2,10,10,900,10.0,8,0.8,41,33,80.5,6,1,3,4,40.0,0,0,0,0,
ch Young Boys,1,2,2,180,2.0,4,2.0,12,8,75.0,0,1,1,0,0.0,2,1,1,0,50.0
