Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
gr AEK Athens,22,6.0,93,52,45,35,13,45,94,47.9,49,64,13,51,61,154,86,4
nl Ajax,26,6.0,82,44,44,28,10,30,77,39.0,47,49,19,30,56,138,97,6
cy Aris Limassol FC,18,6.0,151,104,89,48,14,93,171,54.4,78,78,17,61,78,229,129,3
it Atalanta,32,13.0,235,139,93,109,33,124,238,52.1,114,155,27,128,143,378,227,3
pt Benfica,18,6.3,128,83,70,48,10,71,128,55.5,57,82,23,59,50,178,143,3
es Betis,22,6.0,94,51,48,35,11,50,107,46.7,57,71,20,51,55,149,72,1
pt Braga,18,2.3,43,24,19,18,6,20,43,46.5,23,24,7,17,11,54,34,0
eng Brighton,26,8.0,91,58,31,38,22,49,103,47.6,54,78,20,58,44,135,100,4
nl Feyenoord,19,2.3,22,11,10,7,5,8,22,36.4,14,25,7,18,23,45,53,0
de Freiburg,23,10.3,159,102,61,77,21,66,131,50.4,65,98,22,76,76,235,160,7
tr Galatasaray,17,2.0,25,16,15,7,3,13,26,50.0,13,15,2,13,20,45,31,2
se Häcken,21,6.0,88,58,38,33,17,54,109,49.5,55,67,19,48,52,140,66,4
at LASK,22,6.0,151,92,79,53,19,74,137,54.0,63,87,18,69,60,211,145,2
fr Lens,18,2.3,31,17,17,11,3,14,28,50.0,14,31,13,18,21,52,51,2
de Leverkusen,24,13.0,192,122,83,76,33,78,178,43.8,100,128,32,96,87,279,179,5
eng Liverpool,31,10.0,159,100,63,65,31,80,165,48.5,85,121,17,104,86,245,130,7
il Maccabi Haifa,24,6.0,106,65,59,40,7,50,117,42.7,67,73,29,44,50,156,175,4
fr Marseille,27,14.3,220,148,119,76,25,110,199,55.3,89,158,41,117,147,367,229,4
it Milan,22,6.0,74,44,33,31,10,31,57,54.4,26,46,17,29,28,102,92,2
no Molde,23,6.0,89,58,46,33,10,49,102,48.0,53,65,18,47,57,146,124,4
gr Olympiacos,23,6.0,84,52,33,41,10,41,76,53.9,35,72,16,56,59,143,98,3
gr Panathinaikos,20,6.0,99,45,42,41,16,32,71,45.1,39,61,14,47,38,137,60,3
az Qarabağ,21,10.3,176,114,89,66,21,86,179,48.0,93,125,36,89,105,281,213,4
pl Raków,20,6.0,81,54,44,31,6,40,93,43.0,53,70,23,47,45,126,115,5
sct Rangers,25,8.0,145,85,72,54,19,80,163,49.1,83,107,31,76,75,220,197,1
fr Rennes,25,8.0,106,68,36,49,21,59,119,49.6,60,87,26,61,63,169,95,0
it Roma,29,14.3,219,132,128,70,21,115,223,51.6,108,165,62,103,127,346,269,4
ch Servette FC,21,6.0,110,64,35,53,22,60,88,68.2,28,79,19,60,59,169,74,2
ua Shakhtar,20,2.0,23,15,10,11,2,15,29,51.7,14,21,10,11,23,46,50,2
md Sheriff Tiraspol,18,6.0,112,71,70,35,7,56,92,60.9,36,87,27,60,58,170,148,2
cz Slavia Prague,27,8.0,102,61,37,49,16,53,110,48.2,57,66,16,50,78,180,101,1
cz Sparta Prague,24,10.0,131,72,51,65,15,59,135,43.7,76,130,37,93,83,214,190,10
pt Sporting CP,25,10.0,159,99,75,70,14,86,157,54.8,71,110,20,90,81,240,171,2
at Sturm Graz,22,6.0,126,89,59,47,20,67,140,47.9,73,87,17,70,72,198,134,1
fr Toulouse,24,8.0,174,96,80,68,26,81,152,53.3,71,118,40,78,83,257,186,0
rs TSC,22,6.0,70,48,38,28,4,33,74,44.6,41,71,30,41,50,120,156,2
be Union SG,19,6.0,120,78,56,47,17,62,121,51.2,59,78,9,69,46,166,108,3
es Villarreal,29,8.0,91,54,35,39,17,48,102,47.1,54,62,16,46,62,153,127,1
eng West Ham,25,10.0,125,79,65,49,11,57,113,50.4,56,101,33,68,80,205,176,3
ch Young Boys,19,2.0,37,22,12,18,7,18,32,56.3,14,27,8,19,18,55,26,0
