Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
gr AEK Athens,22,6.0,1996,2558,78.0,38518,14994,776,910,85.3,890,1054,84.4,279,464,60.1,6,6.7,6.0,-0.7,67,163,51,20,210
nl Ajax,26,6.0,2418,2937,82.3,43873,15742,1018,1106,92.0,1084,1220,88.9,247,456,54.2,8,5.6,6.1,2.4,45,144,47,10,202
cy Aris Limassol FC,18,6.0,1780,2454,72.5,31572,12781,775,897,86.4,795,995,79.9,171,407,42.0,5,5.1,4.1,-0.1,42,126,28,3,183
it Atalanta,32,13.0,4918,6383,77.0,91343,34614,2019,2395,84.3,2235,2670,83.7,542,978,55.4,15,16.3,12.6,-1.3,135,406,115,31,586
pt Benfica,18,6.3,2851,3519,81.0,50282,17822,1276,1433,89.0,1194,1388,86.0,292,505,57.8,3,6.7,6.3,-3.7,65,236,62,7,292
es Betis,22,6.0,2637,3228,81.7,43779,15856,1273,1394,91.3,973,1132,86.0,249,447,55.7,8,5.8,5.5,2.2,65,200,53,11,258
pt Braga,18,2.3,984,1232,79.9,18534,6484,373,423,88.2,489,560,87.3,111,191,58.1,2,1.6,1.6,0.4,27,106,30,13,139
eng Brighton,26,8.0,4200,4819,87.2,66992,23027,2116,2286,92.6,1643,1815,90.5,275,446,61.7,7,7.1,10.6,-0.1,69,318,82,13,359
nl Feyenoord,19,2.3,894,1089,82.1,16554,5308,313,352,88.9,491,549,89.4,68,139,48.9,1,1.6,1.6,-0.6,19,77,18,3,82
de Freiburg,23,10.3,4578,5637,81.2,80646,27716,1986,2240,88.7,2067,2343,88.2,399,776,51.4,13,11.6,8.2,1.4,113,322,76,26,379
tr Galatasaray,17,2.0,763,983,77.6,14387,5362,300,345,87.0,390,454,85.9,73,160,45.6,3,1.9,1.7,1.1,22,55,12,3,72
se Häcken,21,6.0,2696,3239,83.2,48519,16401,1224,1357,90.2,1068,1237,86.3,335,487,68.8,2,5.4,5.3,-3.4,63,301,54,12,289
at LASK,22,6.0,1826,2584,70.7,33408,13475,783,967,81.0,781,1009,77.4,216,449,48.1,4,5.0,5.4,-1.0,45,137,46,13,203
fr Lens,18,2.3,960,1181,81.3,16349,6051,430,492,87.4,401,454,88.3,88,158,55.7,0,1.1,1.4,-1.1,20,91,17,1,95
de Leverkusen,24,13.0,7532,8601,87.6,114039,36894,4078,4375,93.2,2663,2950,90.3,452,735,61.5,25,20.6,18.9,4.4,196,492,158,28,620
eng Liverpool,31,10.0,5938,6944,85.5,102885,34985,2733,2992,91.3,2583,2859,90.3,498,826,60.3,22,16.2,15.3,5.8,131,419,127,17,491
il Maccabi Haifa,24,6.0,1807,2304,78.4,34471,12213,735,825,89.1,795,902,88.1,238,457,52.1,3,4.7,3.8,-1.7,41,83,21,8,114
fr Marseille,27,14.3,5430,6738,80.6,97529,34968,2304,2588,89.0,2332,2686,86.8,591,1108,53.3,19,16.6,14.4,2.4,143,467,119,21,572
it Milan,22,6.0,2895,3314,87.4,51595,14926,1158,1289,89.8,1412,1534,92.0,253,372,68.0,11,8.6,7.5,2.4,82,203,56,17,264
no Molde,23,6.0,2172,2758,78.8,37334,14153,975,1123,86.8,921,1071,86.0,193,367,52.6,11,6.6,6.1,4.4,59,137,60,16,193
gr Olympiacos,23,6.0,2236,2859,78.2,39363,13053,1018,1154,88.2,908,1070,84.9,235,460,51.1,9,6.5,5.4,2.5,66,168,46,10,188
gr Panathinaikos,20,6.0,2557,3121,81.9,46500,15114,1085,1214,89.4,1127,1290,87.4,274,449,61.0,4,6.0,7.3,-2.0,63,227,49,15,283
az Qarabağ,21,10.3,3278,4220,77.7,58702,22225,1462,1647,88.8,1343,1559,86.1,367,744,49.3,10,9.0,7.3,1.0,83,252,70,12,309
pl Raków,20,6.0,2187,2848,76.8,40324,13511,938,1081,86.8,934,1129,82.7,269,493,54.6,2,6.0,5.3,-4.0,48,149,46,15,235
sct Rangers,25,8.0,2893,3805,76.0,54932,20794,1119,1315,85.1,1372,1623,84.5,338,664,50.9,8,6.6,6.4,1.4,78,247,66,19,320
fr Rennes,25,8.0,3365,4025,83.6,62129,21882,1267,1435,88.3,1695,1896,89.4,316,529,59.7,9,8.2,7.5,0.8,102,306,70,20,402
it Roma,29,14.3,6021,7283,82.7,108287,36223,2620,2952,88.8,2666,3015,88.4,606,1006,60.2,17,15.0,17.3,2.0,127,359,111,22,474
ch Servette FC,21,6.0,2116,2762,76.6,40196,14823,829,976,84.9,906,1081,83.8,298,528,56.4,2,3.3,3.7,-1.3,57,228,44,10,265
ua Shakhtar,20,2.0,775,939,82.5,13943,4679,316,346,91.3,353,403,87.6,79,141,56.0,1,1.0,1.1,0.0,12,43,10,2,51
