Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
cy AC Omonia,24,8.0,129,76,73,39,17,61,116,52.6,55,93,36,57,78,207,230,4
cy APOEL,24,8.0,133,81,63,53,17,56,121,46.3,65,63,13,50,79,212,188,2
kz Astana FK,25,6.0,101,56,55,37,9,32,90,35.6,58,71,29,42,49,150,168,4
tr Başakşehir,21,6.0,101,58,47,38,16,39,75,52.0,36,73,29,44,64,165,153,2
es Betis,29,15.3,259,156,112,108,39,138,240,57.5,102,153,39,114,149,408,366,4
ba Borac Banja Luka,26,10.3,185,121,77,90,18,95,176,54.0,81,134,52,82,91,276,281,3
be Cercle Brugge,28,8.0,157,112,54,81,22,74,142,52.1,68,118,29,89,105,262,219,1
eng Chelsea,36,13.0,156,106,54,56,46,68,135,50.4,67,117,35,82,96,252,185,8
by Dinamo Minsk,25,6.0,99,65,44,32,23,42,77,54.5,35,61,14,47,75,174,134,4
se Djurgården,29,12.3,201,119,83,91,27,106,189,56.1,83,141,47,94,104,305,348,8
dk FC Copenhagen,26,10.3,179,115,66,84,29,82,160,51.3,78,113,28,85,89,268,177,9
am FC Noah,21,6.0,103,66,54,36,13,55,114,48.2,59,78,28,50,62,165,146,7
it Fiorentina,30,12.3,191,118,94,75,22,92,177,52.0,85,110,41,69,107,298,218,9
be Gent,25,8.0,142,77,76,45,21,77,142,54.2,65,99,28,71,77,219,189,9
sct Hearts,22,6.0,120,80,41,63,16,53,108,49.1,55,69,18,51,58,178,106,0
de Heidenheim,26,8.3,170,102,93,55,22,79,155,51.0,76,109,30,79,98,268,212,3
fi HJK,22,6.0,121,73,52,59,10,55,116,47.4,61,89,39,50,61,182,137,5
pl Jagiellonia,24,12.0,208,118,117,74,17,104,215,48.4,111,132,48,84,107,315,357,5
is KV,21,8.0,147,95,66,61,20,70,131,53.4,61,100,26,74,74,221,267,6
nir Larne FC,20,6.0,121,65,74,36,11,67,117,57.3,50,73,28,45,46,167,213,3
at LASK,20,6.0,89,46,47,32,10,41,94,43.6,53,63,20,43,56,145,158,1
pl Legia Warsaw,28,10.3,191,115,83,69,39,67,135,49.6,68,108,46,62,94,285,275,5
ch Lugano,22,8.3,144,87,77,52,15,71,139,51.1,68,89,24,65,77,221,175,6
cz Mladá Boleslav,20,6.0,78,52,40,28,10,37,82,45.1,45,95,29,66,58,136,142,1
no Molde,26,10.7,180,108,85,68,27,86,166,51.8,80,131,37,94,88,268,237,4
si NK Celje,23,12.3,180,97,89,74,17,79,188,42.0,109,111,30,81,113,293,266,3
si Olimpija,23,8.0,139,89,72,48,19,49,104,47.1,55,78,35,43,78,217,260,5
cy Pafos FC,23,10.0,154,96,66,60,28,79,157,50.3,78,91,21,70,62,216,172,2
gr Panathinaikos,26,10.0,153,97,66,64,23,86,147,58.5,61,81,16,65,80,233,232,5
md Petrocub,19,6.0,109,66,64,38,7,60,127,47.2,67,76,22,54,61,170,202,2
at Rapid Wien,28,10.7,219,125,102,82,35,115,193,59.6,78,142,35,107,106,325,238,8
ie Shamrock Rov,27,8.3,131,81,62,50,19,70,140,50.0,70,86,24,62,61,192,247,12
ch St. Gallen,22,6.0,97,63,49,40,8,54,109,49.5,55,76,22,54,58,155,136,5
wls The New Saints,20,6.0,124,82,77,41,6,54,106,50.9,52,86,42,44,56,180,195,3
rs TSC,24,8.0,137,87,45,67,25,70,152,46.1,82,80,22,58,86,223,164,4
pt Vitória,27,8.0,164,117,85,57,22,91,155,58.7,64,79,17,62,75,239,175,2
