Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
cy AC Omonia,24,8.0,3218,3979,80.9,57115,20013,1397,1569,89.0,1487,1702,87.4,281,526,53.4,3,6.0,5.6,-3.0,53,267,74,20,334
cy APOEL,24,8.0,2902,3639,79.7,51922,17579,1213,1371,88.5,1317,1527,86.2,295,539,54.7,3,6.3,5.9,-3.3,68,216,40,13,257
kz Astana FK,25,6.0,1986,2520,78.8,36301,11998,836,936,89.3,872,994,87.7,231,447,51.7,3,3.6,2.7,-0.6,45,108,30,11,135
tr Başakşehir,21,6.0,2306,2923,78.9,41324,13828,946,1109,85.3,1006,1147,87.7,260,460,56.5,1,5.1,5.8,-4.1,59,149,49,15,203
es Betis,29,15.3,6651,7918,84.0,112597,37490,3096,3385,91.5,2748,3078,89.3,585,1010,57.9,14,18.6,16.0,-4.6,185,533,146,33,630
ba Borac Banja Luka,26,10.3,3361,4417,76.1,61773,23707,1356,1617,83.9,1541,1863,82.7,363,659,55.1,3,4.6,7.0,-1.6,65,262,53,24,323
be Cercle Brugge,28,8.0,1805,2814,64.1,33768,15082,791,1052,75.2,728,1009,72.2,245,602,40.7,5,9.6,9.9,-4.6,84,208,63,15,253
eng Chelsea,36,13.0,8395,9291,90.4,136217,41391,4028,4271,94.3,3707,3960,93.6,473,712,66.4,28,21.4,18.9,6.6,168,539,155,27,649
by Dinamo Minsk,25,6.0,1799,2448,73.5,34272,13055,729,883,82.6,801,980,81.7,233,466,50.0,1,3.9,4.1,-2.9,50,153,44,14,199
se Djurgården,29,12.3,4604,5722,80.5,76193,28215,2243,2522,88.9,1886,2161,87.3,326,705,46.2,12,12.5,15.1,-0.5,122,358,88,11,457
dk FC Copenhagen,26,10.3,5095,6099,83.5,90349,28599,2087,2384,87.5,2436,2713,89.8,448,732,61.2,5,9.4,11.5,-4.4,94,442,84,23,434
am FC Noah,21,6.0,2281,2821,80.9,40022,14722,1008,1135,88.8,991,1134,87.4,217,389,55.8,2,5.8,6.0,-3.8,71,154,46,7,226
it Fiorentina,30,12.3,5268,6261,84.1,97432,31802,2050,2292,89.4,2441,2729,89.4,604,920,65.7,11,17.1,15.1,-6.1,149,401,115,32,488
be Gent,25,8.0,3322,4118,80.7,62216,21025,1339,1534,87.3,1554,1786,87.0,383,620,61.8,4,9.3,7.2,-5.3,76,271,72,20,402
sct Hearts,22,6.0,2240,2999,74.7,40958,14754,887,1085,81.8,1082,1291,83.8,216,473,45.7,1,4.7,5.7,-3.7,46,153,47,10,217
de Heidenheim,26,8.3,3217,4116,78.2,61273,21873,1185,1397,84.8,1620,1869,86.7,363,650,55.8,4,8.1,8.1,-4.1,78,232,59,21,292
fi HJK,22,6.0,2148,2739,78.4,39033,14965,895,1048,85.4,1012,1175,86.1,201,396,50.8,0,2.7,3.6,-2.7,36,160,30,6,192
pl Jagiellonia,24,12.0,4094,5222,78.4,70163,25563,1826,2113,86.4,1764,2078,84.9,363,692,52.5,9,11.5,9.4,-2.5,94,266,84,15,393
is KV,21,8.0,2573,3382,76.1,47244,17769,1111,1319,84.2,1120,1332,84.1,288,571,50.4,4,6.5,4.5,-2.5,50,179,43,4,247
nir Larne FC,20,6.0,1360,1940,70.1,26189,10796,556,670,83.0,556,688,80.8,199,444,44.8,2,2.1,2.5,-0.1,24,102,18,8,118
at LASK,20,6.0,2411,3029,79.6,40254,14790,1199,1387,86.4,999,1167,85.6,173,345,50.1,2,3.5,5.1,-1.5,45,153,42,9,252
pl Legia Warsaw,28,10.3,2959,3890,76.1,50045,20348,1336,1585,84.3,1263,1490,84.8,243,512,47.5,12,12.1,10.8,-0.1,90,210,85,20,328
ch Lugano,22,8.3,3591,4298,83.6,65232,22830,1512,1671,90.5,1647,1829,90.0,363,618,58.7,8,14.2,13.1,-6.2,96,240,90,16,332
cz Mladá Boleslav,20,6.0,1898,2491,76.2,35288,13639,737,880,83.8,922,1073,85.9,197,404,48.8,3,4.7,4.0,-1.7,58,129,33,6,190
no Molde,26,10.7,5302,6390,83.0,91315,30472,2373,2650,89.5,2426,2733,88.8,390,714,54.6,3,9.3,12.6,-6.3,93,412,122,17,517
si NK Celje,23,12.3,4869,5869,83.0,91519,30383,1902,2129,89.3,2289,2545,89.9,584,915,63.8,12,14.1,17.1,-2.1,112,362,98,24,432
si Olimpija,23,8.0,2838,3614,78.5,55101,18341,1008,1183,85.2,1381,1588,87.0,373,654,57.0,2,7.0,5.4,-5.0,60,221,54,17,288
cy Pafos FC,23,10.0,4026,5007,80.4,75174,26605,1553,1777,87.4,1850,2132,86.8,487,805,60.5,6,11.1,12.9,-5.1,116,369,120,41,478
gr Panathinaikos,26,10.0,4803,5683,84.5,78669,26011,2335,2566,91.0,1918,2181,87.9,358,597,60.0,5,11.4,13.3,-6.4,106,424,99,14,484
md Petrocub,19,6.0,1886,2441,77.3,32368,11965,835,983,84.9,795,948,83.9,173,350,49.4,1,1.9,2.2,-0.9,24,113,29,11,173
at Rapid Wien,28,10.7,4488,5543,81.0,75804,27368,2050,2331,87.9,1859,2152,86.4,407,712,57.2,8,13.3,13.3,-5.3,130,375,104,24,455
ie Shamrock Rov,27,8.3,2965,3737,79.3,47779,18732,1579,1747,90.4,1065,1271,83.8,230,497,46.3,5,8.3,7.3,-3.3,62,249,46,10,255
ch St. Gallen,22,6.0,2068,2744,75.4,38049,15318,895,1053,85.0,872,1081,80.7,247,449,55.0,5,7.6,7.6,-2.6,58,192,58,12,246
wls The New Saints,20,6.0,1741,2260,77.0,32265,11865,737,839,87.8,748,891,84.0,209,428,48.8,4,3.3,3.0,0.7,36,96,27,17,110
rs TSC,24,8.0,3355,4179,80.3,58042,21031,1526,1765,86.5,1435,1647,87.1,301,538,55.9,9,7.9,7.6,1.1,88,286,62,11,327
pt Vitória,27,8.0,3377,4087,82.6,57985,21620,1550,1715,90.4,1415,1643,86.1,312,529,59.0,9,12.1,9.2,-3.1,113,294,87,18,375
