Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Player,Unnamed: 2_level_0 Nation,Unnamed: 3_level_0 Pos,Unnamed: 4_level_0 Squad,Unnamed: 5_level_0 Comp,Unnamed: 6_level_0 Age,Unnamed: 7_level_0 Born,Unnamed: 8_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 21_level_0 Int,Unnamed: 22_level_0 Tkl+Int,Unnamed: 23_level_0 Clr,Unnamed: 24_level_0 Err,Unnamed: 25_level_0 Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22,2002,23.5,70,32,23,37,10,27,39,69.2,12,30,11,19,41,111,42,0,Matches
45,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24,1999,19.5,30,14,12,14,4,12,23,52.2,11,27,9,18,21,51,48,0,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28,1996,4.9,5,2,3,2,0,3,9,33.3,6,7,1,6,4,9,5,1,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28,1996,19.6,30,24,17,12,1,12,18,66.7,6,21,15,6,13,43,91,0,Matches
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31,1993,12.5,34,18,17,12,5,24,39,61.5,15,25,3,22,13,47,23,0,Matches
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16,2008,3.0,7,5,2,3,2,7,10,70.0,3,4,0,4,1,8,9,0,Matches
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,22,2001,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30,1994,21.8,56,36,26,20,10,22,48,45.8,26,34,14,20,33,89,32,0,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28,1995,6.5,5,5,3,2,0,2,3,66.7,1,8,4,4,5,10,26,1,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28,1995,0.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19,2005,1.4,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27,1996,33.3,55,42,39,15,1,36,64,56.3,28,34,12,22,33,88,115,4,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23,2001,34.5,89,57,52,28,9,43,70,61.4,27,42,6,36,26,115,75,2,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26,1998,16.0,26,18,14,11,1,14,27,51.9,13,17,4,13,12,38,50,0,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30,1994,27.7,26,19,3,12,11,10,32,31.3,22,20,5,15,6,32,26,0,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29,1995,22.4,19,12,12,4,3,11,17,64.7,6,11,8,3,9,28,64,3,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20,2003,5.6,8,4,3,4,1,5,12,41.7,7,10,8,2,11,19,19,0,Matches
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29,1995,7.5,9,7,7,2,0,4,6,66.7,2,7,2,5,3,12,22,1,Matches
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20,2004,6.5,12,7,4,4,4,6,12,50.0,6,8,0,8,3,15,13,0,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26,1997,28.0,34,23,30,3,1,22,36,61.1,14,26,9,17,17,51,97,4,Matches
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22,2002,26.7,51,31,12,24,15,19,41,46.3,22,21,0,21,15,66,13,0,Matches
68,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26,1997,0.2,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,1,Matches
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22,2001,27.6,55,34,36,12,7,31,46,67.4,15,38,14,24,42,97,141,2,Matches
70,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31,1992,10.7,30,18,15,14,1,9,21,42.9,12,19,6,13,13,43,16,1,Matches
71,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22,2002,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29,1995,24.7,54,27,36,12,6,30,46,65.2,16,65,37,28,29,83,115,1,Matches
73,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28,1995,7.1,8,5,0,4,4,2,6,33.3,4,9,0,9,0,8,3,0,Matches
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32,1992,3.5,1,0,1,0,0,0,0,,0,5,5,0,6,7,7,0,Matches
75,Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18,2006,1.8,12,7,8,4,0,4,6,66.7,2,3,1,2,1,13,1,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34,1990,0.7,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,Matches
77,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38,1985,13.2,10,9,9,1,0,6,10,60.0,4,10,9,1,6,16,69,1,Matches
78,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
79,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,21,2002,8.5,11,5,5,3,3,3,11,27.3,8,9,2,7,5,16,10,0,Matches
80,Omar Alderete,py PAR,DF,Getafe,es La Liga,27,1996,33.0,43,29,30,11,2,20,30,66.7,10,38,22,16,40,83,241,1,Matches
81,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26,1998,5.0,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0,Matches
82,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,26,1998,12.1,19,12,6,7,6,7,17,41.2,10,11,0,11,2,21,4,0,Matches
83,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,23,2000,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
84,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25,1998,26.3,72,50,44,19,9,49,105,46.7,56,26,9,17,31,103,55,4,Matches
85,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25,1999,15.2,8,3,3,2,3,4,12,33.3,8,8,0,8,5,13,5,1,Matches
86,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20,2004,18.0,13,9,4,5,4,4,12,33.3,8,17,1,16,5,18,8,0,Matches
87,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23,2001,0.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1,Matches
88,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,27.9,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,13,1,Matches
89,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
90,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29,1995,19.4,19,11,6,9,4,5,28,17.9,23,10,0,10,12,31,17,0,Matches
91,Dele Alli,eng ENG,MF,Como,it Serie A,28,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
92,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23,2001,10.6,14,8,7,5,2,7,21,33.3,14,2,0,2,7,21,6,3,Matches
93,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24,2000,22.0,48,32,18,21,9,14,39,35.9,25,21,3,18,8,56,14,1,Matches
94,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20,2004,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
95,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30,1994,1.7,3,2,2,0,1,2,3,66.7,1,2,0,2,0,3,0,0,Matches
96,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25,1999,12.4,17,13,7,7,3,8,17,47.1,9,13,0,13,19,36,8,0,Matches
97,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33,1990,29.4,35,21,19,13,3,25,44,56.8,19,22,7,15,34,69,126,4,Matches
98,Giorgio Altare,it ITA,DF,Venezia,it Serie A,25,1998,8.4,13,12,8,3,2,8,15,53.3,7,21,11,10,17,30,49,0,Matches
99,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23,2001,18.1,41,24,26,12,3,24,40,60.0,16,15,6,9,15,56,54,2,Matches
100,Sergi Altimira,es ESP,MF,Betis,es La Liga,22,2001,21.9,61,37,17,38,6,36,60,60.0,24,28,1,27,24,85,43,3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Olabade Aluko,,DF,Leicester City,eng Premier League,,,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
102,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26,1997,19.7,50,27,27,15,8,17,35,48.6,18,23,8,15,18,68,46,1,Matches
103,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21,2003,17.5,26,9,12,10,4,10,19,52.6,9,19,2,17,8,34,29,1,Matches
104,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,24,2000,27.9,25,17,5,11,9,8,30,26.7,22,14,0,14,2,27,12,1,Matches
105,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29,1995,19.8,25,13,14,9,2,15,22,68.2,7,10,6,4,34,59,129,1,Matches
106,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22,2002,2.6,11,6,5,5,1,4,5,80.0,1,4,0,4,2,13,10,0,Matches
107,Will Alves,eng ENG,FW,Leicester City,eng Premier League,19,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
108,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,27,1996,15.3,30,18,10,18,2,10,18,55.6,8,24,2,22,14,44,5,1,Matches
109,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,17,2007,3.8,6,2,5,1,0,2,8,25.0,6,11,1,10,2,8,11,0,Matches
110,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28,1996,4.2,2,0,2,0,0,1,8,12.5,7,7,1,6,2,4,6,0,Matches
111,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30,1994,8.8,24,17,10,11,3,15,21,71.4,6,10,2,8,7,31,18,0,Matches
112,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21,2003,1.1,1,0,1,0,0,0,0,,0,2,2,0,2,3,11,0,Matches
113,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26,1998,24.1,55,31,40,14,1,29,35,82.9,6,18,11,7,13,68,85,0,Matches
114,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28,1996,27.1,49,31,30,13,6,32,46,69.6,14,21,8,13,18,67,70,4,Matches
115,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,27,1996,27.5,50,23,13,28,9,19,46,41.3,27,19,4,15,16,66,30,2,Matches
116,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18,2006,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
117,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,18,2006,3.6,5,3,3,2,0,2,9,22.2,7,3,0,3,3,8,2,0,Matches
118,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
119,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,18,2006,9.5,21,15,15,5,1,10,19,52.6,9,10,0,10,12,33,4,0,Matches
120,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24,2000,27.4,29,22,14,5,10,14,37,37.8,23,42,2,40,9,38,24,0,Matches
121,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,27,1996,2.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,0,Matches
122,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0,Matches
123,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28,1996,28.7,27,18,20,6,1,15,24,62.5,9,37,28,9,34,61,188,1,Matches
124,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,21,2002,30.3,92,56,54,29,9,48,111,43.2,63,48,9,39,31,123,76,4,Matches
125,André,br BRA,MF,Wolves,eng Premier League,23,2001,27.5,91,55,41,41,9,37,63,58.7,26,42,8,34,37,128,30,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33,1990,29.9,103,57,31,60,12,54,96,56.3,42,42,6,36,48,151,56,0,Matches
127,Marcos André,br BRA,FW,Valladolid,es La Liga,27,1996,13.2,10,6,3,5,2,5,13,38.5,8,18,2,16,3,13,10,0,Matches
128,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29,1994,17.8,24,12,8,14,2,7,14,50.0,7,16,8,8,29,53,23,0,Matches
129,Angeliño,es ESP,DF,Roma,it Serie A,27,1997,35.3,46,24,20,24,2,17,34,50.0,17,33,9,24,28,74,98,0,Matches
130,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
131,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,22,2001,12.4,29,13,9,14,6,9,18,50.0,9,18,3,15,13,42,20,0,Matches
132,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28,1996,21.7,34,21,18,10,6,17,23,73.9,6,33,16,17,30,64,112,1,Matches
133,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,21,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
134,Kyllian Antonio,fr FRA,"DF,MF",Lens,fr Ligue 1,16,2008,1.5,3,2,2,0,1,1,3,33.3,2,3,0,3,3,6,3,1,Matches
135,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34,1990,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,0,Matches
136,Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,21,2002,11.4,21,10,9,8,4,9,21,42.9,12,14,2,12,8,29,11,1,Matches
137,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24,2000,1.6,6,3,4,2,0,2,5,40.0,3,2,0,2,2,8,0,0,Matches
138,Antony,br BRA,FW,Betis,es La Liga,24,2000,15.1,25,11,6,9,10,8,22,36.4,14,12,1,11,10,35,9,1,Matches
139,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,29,1995,19.1,38,27,21,12,5,15,28,53.6,13,24,8,16,18,56,26,1,Matches
140,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1992,23.6,71,43,42,22,7,41,71,57.7,30,36,8,28,29,100,89,2,Matches
141,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26,1998,2.0,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,8,0,Matches
142,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28,1995,29.6,48,29,10,33,5,22,48,45.8,26,35,6,29,15,63,46,0,Matches
143,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22,2002,27.3,102,70,61,30,11,66,100,66.0,34,40,8,32,30,132,98,0,Matches
144,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,22,2001,5.5,10,5,4,6,0,5,12,41.7,7,3,0,3,6,16,18,0,Matches
145,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25,1999,8.4,12,9,6,5,1,4,5,80.0,1,6,4,2,9,21,25,0,Matches
146,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23,2001,16.0,13,8,8,3,2,2,9,22.2,7,5,1,4,2,15,11,0,Matches
147,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28,1996,22.7,52,35,32,15,5,34,56,60.7,22,24,4,20,27,79,83,3,Matches
148,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31,1993,25.1,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,15,3,Matches
149,Adu Ares,es ESP,FW,Athletic Club,es La Liga,22,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
150,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25,1999,34.2,53,38,31,14,8,39,56,69.6,17,26,4,22,8,61,92,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,David Argüelles,es ESP,MF,Getafe,es La Liga,22,2002,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
152,Joe Aribo,ng NGA,"MF,DF",Southampton,eng Premier League,28,1996,22.4,47,33,17,24,6,17,35,48.6,18,28,11,17,20,67,32,3,Matches
153,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27,1997,13.9,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0,Matches
154,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,17,2007,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
155,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29,1995,1.5,7,5,3,3,1,4,7,57.1,3,2,0,2,5,12,1,0,Matches
156,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21,2003,19.5,36,16,9,17,10,16,33,48.5,17,10,2,8,8,44,6,0,Matches
157,Marko Arnautović,at AUT,FW,Inter,it Serie A,35,1989,6.1,7,6,1,3,3,3,5,60.0,2,3,0,3,1,8,1,0,Matches
