Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Player,Unnamed: 2_level_0 Nation,Unnamed: 3_level_0 Pos,Unnamed: 4_level_0 Squad,Unnamed: 5_level_0 Comp,Unnamed: 6_level_0 Age,Unnamed: 7_level_0 Born,Playing Time MP,Playing Time Starts,Playing Time Min,Unnamed: 11_level_0 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Unnamed: 27_level_0 Matches
144,Ivan Provedel,it ITA,GK,Lazio,it Serie A,30,1994,29,29,2610,29.0,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0.0,Matches
145,Ionuț Radu,ro ROU,GK,Venezia,it Serie A,27,1997,15,15,1350,15.0,18,1.20,65,47,76.9,2,7,6,4,26.7,3,3,0,0,0.0,Matches
146,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,eng Premier League,22,2001,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,Matches
147,Arnau Rafús,es ESP,GK,Valladolid,es La Liga,21,2003,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
148,Aaron Ramsdale,eng ENG,GK,Southampton,eng Premier League,26,1998,30,30,2700,30.0,66,2.20,188,120,67.6,2,5,23,3,10.0,7,5,2,0,28.6,Matches
149,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,24,1999,12,11,1056,11.7,14,1.19,24,10,45.8,5,2,4,4,36.4,1,1,0,0,0.0,Matches
150,David Raya,es ESP,GK,Arsenal,eng Premier League,28,1995,38,38,3420,38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
151,Pepe Reina,es ESP,GK,Como,it Serie A,41,1982,12,12,1034,11.5,14,1.22,41,27,68.3,3,4,5,2,16.7,1,1,0,0,0.0,Matches
152,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,29,1995,36,36,3240,36.0,43,1.19,130,86,70.8,13,7,16,13,36.1,6,5,1,0,16.7,Matches
153,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,19,2005,29,29,2543,28.3,36,1.27,92,58,62.0,9,7,13,8,27.6,2,1,1,0,50.0,Matches
154,Lasse Rieß,de GER,GK,Mainz 05,de Bundesliga,23,2001,2,2,180,2.0,2,1.00,8,6,75.0,1,1,0,0,0.0,0,0,0,0,,Matches
155,Adrian Rodriguez,es ESP,GK,Alavés,es La Liga,23,2000,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100.0,1,1,0,0,0.0,Matches
156,Leo Román,es ESP,GK,Mallorca,es La Liga,24,2000,7,7,630,7.0,10,1.43,49,39,81.6,2,1,4,2,28.6,1,1,0,0,0.0,Matches
157,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,32,1992,34,34,3060,34.0,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50.0,Matches
158,Mathew Ryan,au AUS,GK,Lens,fr Ligue 1,32,1992,14,14,1260,14.0,17,1.21,62,44,75.8,8,1,5,6,42.9,3,2,1,0,33.3,Matches
159,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,31,1992,28,28,2520,28.0,37,1.32,111,71,67.6,8,11,9,8,28.6,5,1,4,0,80.0,Matches
160,José Sá,pt POR,GK,Wolves,eng Premier League,31,1993,29,29,2609,29.0,48,1.66,117,69,63.2,11,5,13,7,24.1,7,5,2,0,28.6,Matches
