Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
cy AC Omonia,23,6.0,3,42,13,31.0,7.0,2.17,0.07,0.23,19.4,1,0,0,3.8,3.8,0.09,-0.8,-0.8
cy AÉK Lárnaka,21,6.0,7,49,14,28.6,8.17,2.33,0.12,0.43,19.2,4,1,1,4.6,3.9,0.08,2.4,2.1
nl Ajax,15,2.0,1,19,3,15.8,9.5,1.5,0.05,0.33,15.0,0,0,0,2.3,2.3,0.12,-1.3,-1.3
eng Arsenal,26,8.3,10,127,45,35.4,15.24,5.4,0.08,0.22,15.5,5,0,0,15.7,15.7,0.13,-5.7,-5.7
es Barcelona,17,2.0,3,23,10,43.5,11.5,5.0,0.09,0.2,20.7,2,1,1,2.2,1.4,0.06,0.8,0.6
es Betis,26,8.0,13,102,34,33.3,12.75,4.25,0.12,0.35,18.2,0,1,1,9.6,9.0,0.09,3.4,3.0
no Bodø/Glimt,20,6.0,4,60,17,28.3,10.0,2.83,0.07,0.24,16.2,0,0,0,5.7,5.7,0.1,-1.7,-1.7
pt Braga,23,6.0,9,77,38,49.4,12.83,6.33,0.1,0.21,18.8,6,1,1,7.4,6.6,0.09,1.6,1.4
ua Dynamo Kyiv,25,6.0,5,42,14,33.3,7.0,2.33,0.12,0.36,19.4,3,0,0,3.6,3.6,0.09,1.4,1.4
tr Fenerbahçe,24,8.0,13,96,38,39.6,12.0,4.75,0.1,0.26,17.2,5,3,4,13.5,10.4,0.11,-0.5,-0.4
hu Ferencváros,25,8.0,8,73,22,30.1,9.12,2.75,0.1,0.32,18.8,1,1,1,7.8,7.0,0.1,0.2,0.0
nl Feyenoord,22,10.3,23,140,50,35.7,13.55,4.84,0.14,0.4,19.4,7,3,3,14.4,12.2,0.09,8.6,7.8
de Freiburg,25,8.0,13,101,40,39.6,12.62,5.0,0.11,0.28,17.1,4,2,2,10.3,8.8,0.09,2.7,2.2
fi HJK,22,6.0,2,43,13,30.2,7.17,2.17,0.05,0.15,16.4,3,0,0,4.1,4.1,0.1,-2.1,-2.1
it Juventus,24,8.3,11,111,41,36.9,13.32,4.92,0.08,0.22,17.6,4,2,2,14.1,13.0,0.12,-3.1,-4.0
it Lazio,21,6.0,9,71,28,39.4,11.83,4.67,0.11,0.29,16.2,1,1,1,8.6,7.8,0.11,0.4,0.2
de Leverkusen,20,8.3,14,118,43,36.4,14.16,5.16,0.12,0.33,18.5,1,0,0,13.4,13.4,0.12,0.6,0.6
bg Ludogorets,20,6.0,8,79,32,40.5,13.17,5.33,0.1,0.25,20.6,6,0,0,6.2,6.2,0.08,1.8,1.8
se Malmö,24,6.0,3,47,13,27.7,7.83,2.17,0.06,0.23,18.1,0,0,0,3.3,3.3,0.07,-0.3,-0.3
eng Manchester Utd,26,12.0,20,212,72,34.0,17.67,6.0,0.09,0.26,17.2,6,1,1,23.9,23.1,0.11,-3.9,-4.1
dk Midtjylland,27,8.0,13,74,26,35.1,9.25,3.25,0.16,0.46,19.8,3,1,2,7.8,6.1,0.08,5.2,5.9
fr Monaco,25,8.3,12,112,34,30.4,13.44,4.08,0.08,0.26,18.3,2,3,3,12.3,9.9,0.09,-0.3,-0.9
fr Nantes,22,8.0,7,97,31,32.0,12.12,3.87,0.07,0.23,17.0,1,0,0,7.6,7.6,0.08,-0.6,-0.6
gr Olympiacos,29,6.0,1,49,15,30.6,8.17,2.5,0.02,0.07,17.1,2,0,0,4.8,4.8,0.1,-3.8,-3.8
nl PSV Eindhoven,29,8.0,16,104,44,42.3,13.0,5.5,0.15,0.36,17.3,1,0,0,10.3,10.3,0.1,5.7,5.7
az Qarabağ,20,6.0,9,77,35,45.5,12.83,5.83,0.1,0.23,18.7,2,1,1,9.0,8.2,0.11,0.0,-0.2
at RB Salzburg,18,2.0,1,29,5,17.2,14.5,2.5,0.03,0.2,20.6,1,0,0,2.1,2.1,0.07,-1.1,-1.1
es Real Sociedad,29,8.0,10,108,29,26.9,13.5,3.62,0.08,0.31,18.7,4,1,1,10.6,9.9,0.09,-0.6,-0.9
rs Red Star,23,6.0,9,75,22,29.3,12.5,3.67,0.09,0.32,18.1,3,2,2,7.6,6.2,0.08,1.4,0.8
fr Rennes,26,8.3,14,125,41,32.8,15.0,4.92,0.11,0.34,17.9,5,0,0,12.4,12.4,0.1,1.6,1.6
it Roma,26,15.7,20,210,67,31.9,13.4,4.28,0.08,0.25,16.3,11,3,4,28.3,25.2,0.13,-8.3,-8.2
es Sevilla,22,9.7,11,131,42,32.1,13.55,4.34,0.08,0.26,19.6,9,0,0,8.7,8.7,0.07,2.3,2.3
ua Shakhtar,20,4.3,4,32,7,21.9,7.38,1.62,0.09,0.43,19.7,2,1,1,3.2,2.4,0.08,0.8,0.6
md Sheriff Tiraspol,21,6.0,4,52,11,21.2,8.67,1.83,0.06,0.27,23.2,2,1,1,3.8,3.1,0.06,0.2,-0.1
pt Sporting CP,21,6.3,8,82,22,26.8,12.95,3.47,0.09,0.32,18.1,1,1,1,11.6,10.8,0.14,-3.6,-3.8
at Sturm Graz,22,6.0,4,82,24,29.3,13.67,4.0,0.05,0.17,20.5,0,0,1,6.2,5.4,0.07,-2.2,-1.4
