Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
cy AC Omonia,23,6.0,74,12.33,59,7,1,1,5,1,4,0.67,4,0,0,0,0,0
cy AÉK Lárnaka,21,6.0,75,12.5,50,11,2,2,7,3,10,1.67,7,0,0,1,2,0
nl Ajax,15,2.0,36,18.0,24,6,0,3,2,1,2,1.0,2,0,0,0,0,0
eng Arsenal,26,8.3,220,26.4,155,22,13,22,7,1,14,1.68,7,1,1,5,0,0
es Barcelona,17,2.0,40,20.0,28,2,2,3,4,1,5,2.5,3,1,0,0,1,0
es Betis,26,8.0,175,21.87,133,16,8,16,2,0,24,3.0,17,1,2,3,1,0
no Bodø/Glimt,20,6.0,108,18.0,90,6,4,6,1,1,8,1.33,7,0,1,0,0,0
pt Braga,23,6.0,135,22.5,90,16,7,8,12,2,16,2.67,10,2,0,2,2,0
ua Dynamo Kyiv,25,6.0,78,13.0,55,7,2,5,7,2,9,1.5,5,1,1,2,0,0
tr Fenerbahçe,24,8.0,155,19.37,110,11,14,8,9,3,20,2.5,9,4,2,1,3,1
hu Ferencváros,25,8.0,121,15.12,92,12,7,6,2,2,14,1.75,11,1,0,2,0,0
nl Feyenoord,22,10.3,261,25.26,207,17,10,12,12,3,40,3.87,30,2,3,3,2,0
de Freiburg,25,8.0,173,21.62,113,23,9,11,10,7,24,3.0,15,3,0,2,3,1
fi HJK,22,6.0,75,12.5,56,5,2,5,5,2,3,0.5,2,0,0,1,0,0
it Juventus,24,8.3,197,23.64,146,15,11,14,6,5,16,1.92,9,0,0,6,0,1
it Lazio,21,6.0,132,22.0,111,8,5,5,2,1,16,2.67,15,0,0,0,1,0
de Leverkusen,20,8.3,208,24.96,158,8,20,12,5,5,22,2.64,16,1,3,2,0,0
bg Ludogorets,20,6.0,141,23.5,110,9,9,4,9,0,14,2.33,11,1,1,0,1,0
se Malmö,24,6.0,78,13.0,60,8,1,5,3,1,6,1.0,5,0,0,0,0,1
eng Manchester Utd,26,12.0,379,31.58,292,29,21,22,15,0,33,2.75,23,3,1,5,1,0
dk Midtjylland,27,8.0,124,15.5,84,13,8,11,8,0,16,2.0,9,2,0,3,2,0
fr Monaco,25,8.3,203,24.36,151,14,9,17,8,4,23,2.76,18,0,1,1,3,0
fr Nantes,22,8.0,169,21.12,117,29,5,11,6,1,13,1.62,13,0,0,0,0,0
gr Olympiacos,29,6.0,83,13.83,56,7,4,7,7,2,1,0.17,0,0,0,1,0,0
nl PSV Eindhoven,29,8.0,183,22.87,138,13,11,17,4,0,26,3.25,21,1,2,2,0,0
az Qarabağ,20,6.0,138,23.0,98,12,15,6,5,2,16,2.67,13,0,2,0,1,0
at RB Salzburg,18,2.0,50,25.0,40,0,3,3,3,1,2,1.0,2,0,0,0,0,0
es Real Sociedad,29,8.0,189,23.63,151,11,8,8,7,4,16,2.0,13,1,0,1,1,0
rs Red Star,23,6.0,135,22.5,94,16,5,9,10,1,15,2.5,12,1,0,1,1,0
fr Rennes,26,8.3,220,26.4,167,14,18,11,7,3,25,3.0,23,1,1,0,0,0
it Roma,26,15.7,360,22.98,231,41,15,37,31,5,35,2.23,20,2,4,4,4,1
es Sevilla,22,9.7,217,22.45,152,26,13,15,10,1,15,1.55,12,2,1,0,0,0
ua Shakhtar,20,4.3,60,13.85,43,6,4,3,3,1,7,1.62,4,1,0,1,1,0
md Sheriff Tiraspol,21,6.0,85,14.17,68,2,8,4,2,1,7,1.17,5,0,1,1,0,0
pt Sporting CP,21,6.3,142,22.42,108,13,8,10,3,0,10,1.58,3,2,0,4,1,0
at Sturm Graz,22,6.0,145,24.17,109,11,6,8,6,5,8,1.33,5,1,1,0,1,0
tr Trabzonspor,23,6.0,176,29.33,143,14,4,9,4,2,16,2.67,11,1,1,1,2,0
de Union Berlin,24,10.0,217,21.7,153,28,4,11,15,6,14,1.4,8,2,0,2,2,0
be Union SG,22,10.0,175,17.5,127,11,15,11,6,5,31,3.1,23,1,4,1,0,2
ch Zürich,21,6.0,126,21.0,94,9,8,9,2,4,9,1.5,5,0,1,2,1,0
