Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
cy AÉK Lárnaka,20,4.0,61,42,30,20,11,30,61,49.2,31,35,12,23,33,94,50,0
be Anderlecht,28,12.7,185,102,98,64,23,73,175,41.7,102,134,44,90,157,342,195,3
cy Apollon,23,6.0,75,50,38,26,11,41,81,50.6,40,51,20,31,76,151,85,1
at Austria Wien,24,6.0,98,59,43,42,13,44,98,44.9,54,70,14,56,83,181,100,0
nl AZ Alkmaar,26,12.3,204,130,75,93,36,97,229,42.4,132,114,23,91,131,335,163,3
tr Başakşehir,26,8.0,135,89,58,55,22,57,112,50.9,55,77,14,63,72,207,113,1
ch Basel,24,15.0,233,148,87,115,31,123,249,49.4,126,178,51,127,149,382,283,2
il Be'er Sheva,20,6.0,98,53,48,38,12,55,97,56.7,42,74,23,51,61,159,101,0
no Bodø/Glimt,18,2.0,34,21,15,12,7,17,29,58.6,12,20,5,15,3,37,33,0
pt Braga,22,2.0,21,12,11,6,4,7,27,25.9,20,10,3,7,13,34,34,1
ro CFR Cluj,23,8.0,125,76,58,53,14,56,123,45.5,67,113,31,82,119,244,158,2
se Djurgården,24,8.0,133,89,64,57,12,60,121,49.6,61,73,21,52,106,239,147,0
ro FCSB,23,6.0,112,73,57,42,13,45,91,49.5,46,61,19,42,87,199,102,5
it Fiorentina,29,15.3,191,121,69,90,32,82,163,50.3,81,126,21,105,107,298,144,5
lv FK Rīgas FS,21,6.0,88,45,52,32,4,46,113,40.7,67,71,29,42,76,164,134,0
be Gent,29,12.3,248,153,115,100,33,116,239,48.5,123,135,28,107,136,384,201,2
sct Hearts,22,6.0,70,35,42,22,6,29,69,42.0,40,63,25,38,84,154,91,3
xk KF Ballkani Therandë,21,6.0,98,61,54,31,13,38,80,47.5,42,79,25,54,87,185,138,3
de Köln,22,6.0,109,54,51,39,19,52,111,46.8,59,66,17,49,63,172,102,3
it Lazio,22,4.0,63,49,34,18,11,33,67,49.3,34,52,13,39,36,99,61,1
pl Lech Poznań,22,12.0,155,100,79,58,18,76,174,43.7,98,132,44,88,125,280,225,1
bg Ludogorets,18,2.3,38,20,21,10,7,19,34,55.9,15,29,12,17,29,67,76,0
no Molde,19,6.0,66,44,42,13,11,32,66,48.5,34,69,15,54,68,134,106,1
fr Nice,27,10.3,167,106,84,65,18,83,141,58.9,58,79,19,60,113,280,182,1
rs Partizan,23,8.0,141,88,77,49,15,83,145,57.2,62,101,32,69,84,225,229,1
am Pyunik,20,6.0,93,48,47,39,7,35,83,42.2,48,51,18,33,85,178,100,1
az Qarabağ,17,2.3,57,34,25,29,3,28,53,52.8,25,31,5,26,31,88,51,1
ie Shamrock Rov,23,6.0,86,49,43,34,9,50,87,57.5,37,53,23,30,74,160,123,2
md Sheriff Tiraspol,17,4.0,59,36,29,27,3,33,69,47.8,36,38,8,30,49,108,63,0
dk Silkeborg,21,6.0,83,45,40,32,11,43,77,55.8,34,57,12,45,56,139,72,2
tr Sivasspor,25,8.0,135,84,71,54,10,71,140,50.7,69,96,41,55,81,216,209,2
ua SK Dnipro-1,23,8.0,119,74,63,46,10,62,124,50.0,62,74,18,56,83,202,144,1
cz Slavia Prague,23,6.0,81,48,17,41,23,31,63,49.2,32,51,4,47,54,135,55,0
cz Slovácko,24,6.0,76,47,33,29,14,45,88,51.1,43,74,13,61,75,151,90,1
sk Slovan Bratislava,25,8.3,157,105,74,77,6,78,137,56.9,59,77,37,40,87,244,151,1
tr Trabzonspor,16,2.0,32,21,17,14,1,16,35,45.7,19,18,3,15,17,49,8,0
li Vaduz,22,6.0,108,65,58,42,8,52,114,45.6,62,57,13,44,93,201,100,0
es Villarreal,26,8.0,94,48,44,27,23,46,79,58.2,33,69,28,41,65,159,116,3
eng West Ham,31,13.0,181,119,72,84,25,77,149,51.7,72,135,39,96,120,301,183,0
lt Žalgiris,19,6.0,106,67,67,29,10,41,99,41.4,58,61,13,48,84,190,75,1
