Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
cy AÉK Lárnaka,20,4.0,1,41,14,34.1,10.25,3.5,0.02,0.07,18.2,1,0,0,2.8,2.8,0.07,-1.8,-1.8
be Anderlecht,28,12.7,11,139,49,35.3,10.97,3.87,0.06,0.18,18.4,5,2,2,15.7,14.2,0.1,-4.7,-5.2
cy Apollon,23,6.0,5,53,15,28.3,8.83,2.5,0.09,0.33,20.8,3,0,0,3.5,3.5,0.07,1.5,1.5
at Austria Wien,24,6.0,2,73,23,31.5,12.17,3.83,0.03,0.09,21.6,2,0,1,4.8,4.0,0.06,-2.8,-2.0
nl AZ Alkmaar,26,12.3,19,163,51,31.3,13.22,4.14,0.1,0.33,17.9,2,2,2,16.9,15.3,0.1,2.1,1.7
tr Başakşehir,26,8.0,16,96,34,35.4,12.0,4.25,0.17,0.47,17.9,5,0,0,9.9,9.9,0.11,6.1,6.1
ch Basel,24,15.0,24,167,54,32.3,11.13,3.6,0.13,0.39,18.3,3,3,3,16.4,14.1,0.09,7.6,6.9
il Be'er Sheva,20,6.0,7,70,12,17.1,11.67,2.0,0.07,0.42,18.8,4,2,2,7.4,5.9,0.08,-0.4,-0.9
no Bodø/Glimt,18,2.0,0,29,4,13.8,14.5,2.0,0.0,0.0,18.4,0,0,0,2.1,2.1,0.08,-2.1,-2.1
pt Braga,22,2.0,2,16,6,37.5,8.0,3.0,0.13,0.33,17.2,0,0,0,1.1,1.1,0.07,0.9,0.9
ro CFR Cluj,23,8.0,5,97,22,22.7,12.12,2.75,0.04,0.18,17.8,2,1,2,8.7,7.1,0.07,-3.7,-3.1
se Djurgården,24,8.0,12,71,25,35.2,8.87,3.12,0.17,0.48,15.7,0,0,0,8.6,8.6,0.12,3.4,3.4
ro FCSB,23,6.0,3,71,21,29.6,11.83,3.5,0.04,0.14,21.0,2,0,0,5.2,5.2,0.07,-2.2,-2.2
it Fiorentina,29,15.3,36,277,96,34.7,18.07,6.26,0.13,0.36,15.6,2,1,1,31.1,30.3,0.11,4.9,4.7
lv FK Rīgas FS,21,6.0,2,44,16,36.4,7.33,2.67,0.05,0.13,17.6,0,0,0,3.8,3.8,0.09,-1.8,-1.8
be Gent,29,12.3,18,176,51,29.0,14.27,4.14,0.1,0.33,18.1,4,1,1,17.5,16.7,0.1,0.5,0.3
sct Hearts,22,6.0,6,45,20,44.4,7.5,3.33,0.11,0.25,18.3,1,1,1,5.0,4.2,0.1,1.0,0.8
xk KF Ballkani Therandë,21,6.0,8,58,27,46.6,9.67,4.5,0.14,0.3,22.2,1,0,0,4.5,4.5,0.08,3.5,3.5
de Köln,22,6.0,8,78,27,34.6,13.0,4.5,0.08,0.22,15.7,0,2,3,12.0,9.6,0.13,-4.0,-3.6
it Lazio,22,4.0,3,50,17,34.0,12.5,4.25,0.06,0.18,16.3,2,0,0,4.1,4.1,0.1,-1.1,-1.1
pl Lech Poznań,22,12.0,22,132,41,31.1,11.0,3.42,0.15,0.49,19.1,5,2,2,15.4,13.8,0.11,6.6,6.2
bg Ludogorets,18,2.3,2,20,4,20.0,8.57,1.71,0.1,0.5,19.8,1,0,0,1.5,1.5,0.08,0.5,0.5
no Molde,19,6.0,9,79,24,30.4,13.17,4.0,0.1,0.33,17.5,0,1,1,7.9,7.1,0.09,1.1,0.9
fr Nice,27,10.3,15,132,47,35.6,12.77,4.55,0.11,0.3,18.1,7,1,1,12.3,11.6,0.09,2.7,2.4
rs Partizan,23,8.0,11,67,22,32.8,8.37,2.75,0.15,0.45,15.5,0,1,1,7.3,6.5,0.1,3.7,3.5
am Pyunik,20,6.0,8,73,25,34.2,12.17,4.17,0.08,0.24,22.9,4,2,2,6.3,4.7,0.07,1.7,1.3
az Qarabağ,17,2.3,1,23,4,17.4,9.86,1.71,0.04,0.25,19.5,0,0,1,2.3,1.6,0.07,-1.3,-0.6
ie Shamrock Rov,23,6.0,1,53,17,32.1,8.83,2.83,0.02,0.06,20.3,1,0,0,3.3,3.3,0.06,-2.3,-2.3
md Sheriff Tiraspol,17,4.0,4,45,15,33.3,11.25,3.75,0.07,0.2,20.5,3,1,1,4.1,3.3,0.07,-0.1,-0.3
dk Silkeborg,21,6.0,12,59,22,37.3,9.83,3.67,0.19,0.5,18.1,1,1,1,6.9,6.1,0.11,5.1,4.9
tr Sivasspor,25,8.0,11,76,26,34.2,9.5,3.25,0.12,0.35,17.8,3,2,2,9.5,8.1,0.11,1.5,0.9
ua SK Dnipro-1,23,8.0,9,77,29,37.7,9.62,3.62,0.12,0.31,19.4,3,0,0,7.5,7.5,0.1,1.5,1.5
cz Slavia Prague,23,6.0,4,135,35,25.9,22.5,5.83,0.03,0.11,17.6,3,0,1,10.5,9.9,0.07,-6.5,-5.9
cz Slovácko,24,6.0,8,70,22,31.4,11.67,3.67,0.11,0.36,16.8,3,0,0,6.3,6.3,0.09,1.7,1.7
sk Slovan Bratislava,25,8.3,13,107,41,38.3,12.84,4.92,0.11,0.29,18.2,1,1,2,12.0,10.4,0.1,1.0,1.6
tr Trabzonspor,16,2.0,1,40,15,37.5,20.0,7.5,0.03,0.07,18.0,1,0,1,4.7,3.9,0.1,-3.7,-2.9
li Vaduz,22,6.0,5,72,20,27.8,12.0,3.33,0.07,0.25,19.3,4,0,0,5.6,5.6,0.08,-0.6,-0.6
es Villarreal,26,8.0,15,109,41,37.6,13.62,5.12,0.13,0.34,15.6,2,1,2,14.5,12.9,0.12,0.5,1.1
