Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
cy AÉK Lárnaka,20,4.0,73,18.25,50,13,2,4,4,0,2,0.5,0,1,0,0,1,0
be Anderlecht,28,12.7,248,19.58,200,16,9,9,8,6,19,1.5,16,1,0,1,1,0
cy Apollon,23,6.0,92,15.33,56,14,6,6,9,1,9,1.5,7,1,0,1,0,0
at Austria Wien,24,6.0,125,20.83,104,7,2,4,7,1,2,0.33,0,1,0,1,0,0
nl AZ Alkmaar,26,12.3,286,23.19,219,18,20,16,6,7,38,3.08,33,0,2,0,2,1
tr Başakşehir,26,8.0,176,22.0,129,13,9,13,5,7,26,3.25,15,3,3,4,0,1
ch Basel,24,15.0,304,20.27,222,31,17,19,11,4,42,2.8,26,2,3,6,4,1
il Be'er Sheva,20,6.0,119,19.83,87,11,5,7,7,2,11,1.83,7,1,1,1,1,0
no Bodø/Glimt,18,2.0,52,26.0,43,2,4,3,0,0,0,0.0,0,0,0,0,0,0
pt Braga,22,2.0,27,13.5,17,3,3,3,1,0,3,1.5,2,0,0,1,0,0
ro CFR Cluj,23,8.0,163,20.37,100,26,11,16,10,0,8,1.0,2,2,0,2,2,0
se Djurgården,24,8.0,125,15.62,88,12,7,8,8,2,21,2.62,13,3,0,3,2,0
ro FCSB,23,6.0,110,18.33,74,12,4,11,5,4,5,0.83,4,0,0,1,0,0
it Fiorentina,29,15.3,492,32.09,372,43,27,34,13,3,61,3.98,40,5,4,9,3,0
lv FK Rīgas FS,21,6.0,73,12.17,50,10,1,7,5,0,4,0.67,4,0,0,0,0,0
be Gent,29,12.3,308,24.97,233,29,6,23,11,6,30,2.43,21,2,0,5,2,0
sct Hearts,22,6.0,75,12.5,61,5,2,4,2,1,10,1.67,8,0,1,1,0,0
xk KF Ballkani Therandë,21,6.0,98,16.33,77,8,4,5,2,2,10,1.67,9,0,1,0,0,0
de Köln,22,6.0,135,22.5,108,14,3,6,3,1,15,2.5,9,2,1,1,2,0
it Lazio,22,4.0,82,20.5,54,8,6,9,3,2,6,1.5,6,0,0,0,0,0
pl Lech Poznań,22,12.0,238,19.83,169,20,12,13,17,7,39,3.25,26,3,1,4,3,2
bg Ludogorets,18,2.3,33,14.14,27,1,2,1,1,1,4,1.71,4,0,0,0,0,0
no Molde,19,6.0,124,20.67,89,11,7,13,2,2,13,2.17,7,1,2,2,1,0
fr Nice,27,10.3,231,22.35,167,18,14,20,8,4,25,2.42,15,0,3,6,0,1
rs Partizan,23,8.0,115,14.37,80,15,8,5,5,2,18,2.25,10,1,2,1,2,2
am Pyunik,20,6.0,119,19.83,80,12,6,7,8,6,12,2.0,4,2,2,2,2,0
az Qarabağ,17,2.3,39,16.71,30,2,3,3,1,0,2,0.86,2,0,0,0,0,0
ie Shamrock Rov,23,6.0,86,14.33,63,11,3,5,3,1,2,0.33,2,0,0,0,0,0
md Sheriff Tiraspol,17,4.0,77,19.25,63,5,3,1,3,2,5,1.25,4,0,1,0,0,0
dk Silkeborg,21,6.0,111,18.5,94,1,9,5,2,0,23,3.83,21,0,0,1,1,0
tr Sivasspor,25,8.0,129,16.12,87,14,13,8,6,1,19,2.37,13,0,2,3,1,0
ua SK Dnipro-1,23,8.0,137,17.12,114,8,2,7,5,1,18,2.25,17,0,0,0,1,0
cz Slavia Prague,23,6.0,239,39.83,183,20,14,13,8,1,7,1.17,5,0,0,1,0,1
cz Slovácko,24,6.0,123,20.5,86,17,4,11,4,1,11,1.83,5,0,0,5,1,0
sk Slovan Bratislava,25,8.3,196,23.52,139,25,11,11,9,1,22,2.64,16,1,3,1,1,0
tr Trabzonspor,16,2.0,65,32.5,48,4,2,7,4,0,1,0.5,0,0,0,1,0,0
li Vaduz,22,6.0,117,19.5,82,16,3,5,7,4,9,1.5,7,1,0,0,0,1
es Villarreal,26,8.0,204,25.5,159,13,13,10,8,1,26,3.25,24,0,1,0,1,0
eng West Ham,31,13.0,311,23.92,235,22,23,14,12,5,47,3.62,29,5,4,3,5,1
lt Žalgiris,19,6.0,115,19.17,92,4,8,7,2,2,8,1.33,7,1,0,0,0,0
