Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 Age,Unnamed: 3_level_0 Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG
cy AÉK Lárnaka,20,29.5,41.3,4,44,360,4.0,1,0,1,1,0,0,4,1,2.8,2.8,2.2,5.0,51,114,0.25,0.0,0.25,0.25,0.25,0.69,0.56,1.25,0.69,1.25
be Anderlecht,28,24.6,49.4,12,132,1140,12.7,11,9,20,9,2,2,27,1,15.7,14.2,11.6,25.8,232,522,0.87,0.71,1.58,0.71,1.42,1.24,0.92,2.16,1.12,2.04
cy Apollon,23,27.4,47.5,6,66,540,6.0,5,5,10,5,0,0,12,1,3.5,3.5,2.6,6.1,97,177,0.83,0.83,1.67,0.83,1.67,0.58,0.43,1.01,0.58,1.01
at Austria Wien,24,25.6,47.8,6,66,540,6.0,2,0,2,2,0,1,12,0,4.8,4.0,3.1,7.2,86,245,0.33,0.0,0.33,0.33,0.33,0.81,0.52,1.33,0.67,1.2
nl AZ Alkmaar,26,24.0,56.3,12,132,1110,12.3,19,16,35,17,2,2,21,0,16.9,15.3,12.5,27.9,205,539,1.54,1.3,2.84,1.38,2.68,1.37,1.02,2.39,1.24,2.26
tr Başakşehir,26,29.5,56.8,8,88,720,8.0,16,12,28,16,0,0,15,0,9.9,9.9,6.3,16.2,137,299,2.0,1.5,3.5,2.0,3.5,1.23,0.79,2.02,1.23,2.02
ch Basel,24,24.7,47.9,14,154,1350,15.0,24,16,40,21,3,3,36,2,16.4,14.1,10.9,25.0,283,549,1.6,1.07,2.67,1.4,2.47,1.09,0.73,1.82,0.94,1.66
il Be'er Sheva,20,28.6,44.7,6,66,540,6.0,7,4,11,5,2,2,14,0,7.4,5.9,3.7,9.6,103,191,1.17,0.67,1.83,0.83,1.5,1.24,0.62,1.86,0.98,1.6
no Bodø/Glimt,18,25.0,58.5,2,22,180,2.0,0,0,0,0,0,0,3,0,2.1,2.1,1.9,4.0,59,100,0.0,0.0,0.0,0.0,0.0,1.06,0.96,2.02,1.06,2.02
pt Braga,22,26.4,46.0,2,22,180,2.0,2,1,3,2,0,0,0,1,1.1,1.1,0.7,1.7,14,42,1.0,0.5,1.5,1.0,1.5,0.54,0.33,0.87,0.54,0.87
