Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
nl Ajax,19,6.0,110,60,44,50,16,63,104,60.6,41,62,15,47,53,163,109,5
es Atlético Madrid,22,6.0,85,48,38,30,17,48,79,60.8,31,81,21,60,42,127,79,2
es Barcelona,26,6.0,94,58,31,44,19,38,69,55.1,31,60,20,40,51,145,58,3
de Bayern Munich,24,10.0,189,118,94,69,26,80,175,45.7,95,146,34,112,120,309,131,5
pt Benfica,24,10.0,189,105,80,78,31,82,189,43.4,107,126,33,93,123,312,160,1
sct Celtic,22,6.0,89,45,35,36,18,41,81,50.6,40,78,27,51,65,154,84,2
eng Chelsea,26,10.0,175,104,81,68,26,87,174,50.0,87,136,30,106,93,268,141,1
be Club Brugge,25,8.0,113,64,58,40,15,47,98,48.0,51,84,30,54,72,185,161,4
hr Dinamo Zagreb,20,6.0,105,54,60,36,9,50,99,50.5,49,73,31,42,66,171,127,1
de Dortmund,26,8.0,111,67,53,42,16,50,116,43.1,66,106,31,75,89,200,136,4
de Eint Frankfurt,22,8.0,154,88,75,66,13,66,154,42.9,88,99,17,82,85,239,129,3
dk FC Copenhagen,25,6.0,88,46,51,23,14,40,82,48.8,42,77,25,52,83,171,104,0
it Inter,22,13.0,230,138,130,73,27,103,227,45.4,124,149,46,103,123,353,276,1
it Juventus,26,6.0,96,48,47,35,14,49,94,52.1,45,77,21,56,51,147,78,0
de Leverkusen,20,6.0,103,66,41,45,17,53,86,61.6,33,65,19,46,43,146,119,2
eng Liverpool,25,8.0,141,81,58,64,19,67,125,53.6,58,83,20,63,60,201,76,3
il Maccabi Haifa,20,6.0,124,73,76,32,16,52,110,47.3,58,55,18,37,53,177,104,0
eng Manchester City,23,13.0,185,112,68,80,37,88,177,49.7,89,104,24,80,84,269,126,3
fr Marseille,19,6.0,107,58,40,51,16,40,69,58.0,29,54,20,34,68,175,57,1
it Milan,23,12.0,214,123,111,80,23,89,183,48.6,94,129,46,83,103,317,187,4
it Napoli,22,10.0,173,104,79,64,30,78,141,55.3,63,95,29,66,88,261,160,4
fr Paris S-G,21,8.0,117,77,58,45,14,59,139,42.4,80,77,23,54,62,179,97,3
pt Porto,24,8.0,136,88,76,45,15,57,127,44.9,70,85,23,62,77,213,152,1
sct Rangers,22,6.0,89,45,38,42,9,39,91,42.9,52,63,24,39,58,147,105,3
de RB Leipzig,22,8.0,136,79,62,57,17,69,152,45.4,83,80,17,63,68,204,108,6
at RB Salzburg,19,6.0,154,85,77,54,23,70,120,58.3,50,93,23,70,51,205,118,3
es Real Madrid,22,12.0,173,98,85,68,20,85,178,47.8,93,133,34,99,111,284,179,1
es Sevilla,24,6.0,82,49,38,30,14,43,93,46.2,50,64,19,45,49,131,90,6
ua Shakhtar,20,6.0,106,52,68,30,8,45,99,45.5,54,57,17,40,65,171,156,5
pt Sporting CP,25,6.0,127,75,70,49,8,56,89,62.9,33,62,15,47,50,177,127,4
eng Tottenham,25,8.0,153,88,56,73,24,71,143,49.7,72,75,28,47,71,224,132,5
cz Viktoria Plzeň,22,6.0,95,41,52,28,15,41,98,41.8,57,61,20,41,67,162,128,0
